Task: add mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.7283/4.7285 | acc 0.008/0.009 | pre
Ep    100 | loss 3.6521/5.7255 | acc 0.144/0.000 | pre
Ep    200 | loss 1.3387/8.8289 | acc 0.837/0.000 | pre
Ep    300 | loss 0.1759/12.4830 | acc 1.000/0.000 | pre
Ep    400 | loss 0.0454/14.2919 | acc 1.000/0.000 | pre
Ep    500 | loss 0.0161/15.5666 | acc 1.000/0.000 | pre
Ep    600 | loss 0.0060/16.7856 | acc 1.000/0.000 | pre
Ep    700 | loss 0.0023/17.9908 | acc 1.000/0.000 | pre
Ep    800 | loss 0.0009/19.1862 | acc 1.000/0.000 | pre
Ep    900 | loss 0.0004/20.3609 | acc 1.000/0.000 | pre
Ep   1000 | loss 0.0001/21.5073 | acc 1.000/0.000 | pre
Ep   1100 | loss 0.0001/22.6108 | acc 1.000/0.000 | pre
Ep   1200 | loss 0.0000/23.6204 | acc 1.000/0.000 | pre
Ep   1300 | loss 0.0000/24.4496 | acc 1.000/0.000 | pre
Ep   1400 | loss 0.0000/25.0219 | acc 1.000/0.000 | pre
Ep   1500 | loss 0.0000/25.2769 | acc 1.000/0.000 | pre
Ep   1600 | loss 0.0000/25.2545 | acc 1.000/0.000 | pre
Ep   1700 | loss 0.0000/25.0820 | acc 1.000/0.000 | pre
Ep   1800 | loss 0.0000/24.8495 | acc 1.000/0.000 | pre
Ep   1900 | loss 0.0000/24.6102 | acc 1.000/0.000 | pre
Ep   2000 | loss 0.0000/24.3815 | acc 1.000/0.000 | pre
Ep   2100 | loss 0.0000/24.1625 | acc 1.000/0.000 | pre
Ep   2200 | loss 0.0000/23.9563 | acc 1.000/0.000 | pre
Ep   2300 | loss 0.0000/23.7576 | acc 1.000/0.000 | pre
Ep   2400 | loss 0.0000/23.5668 | acc 1.000/0.000 | pre
Ep   2500 | loss 0.0000/23.3871 | acc 1.000/0.000 | pre
Ep   2600 | loss 0.0000/23.2136 | acc 1.000/0.000 | pre
Ep   2700 | loss 0.0000/23.0399 | acc 1.000/0.000 | pre
Ep   2800 | loss 0.0000/22.8706 | acc 1.000/0.000 | pre
Ep   2900 | loss 0.0000/22.7100 | acc 1.000/0.000 | pre
Ep   3000 | loss 0.0000/22.5524 | acc 1.000/0.000 | pre
Ep   3100 | loss 0.0000/22.3993 | acc 1.000/0.000 | pre
Ep   3200 | loss 0.0000/22.2492 | acc 1.000/0.000 | pre
Ep   3300 | loss 0.0000/22.1011 | acc 1.000/0.000 | pre
Ep   3400 | loss 0.0000/21.9518 | acc 1.000/0.000 | pre
Ep   3500 | loss 0.0000/21.8054 | acc 1.000/0.000 | pre
Ep   3600 | loss 0.0000/21.6651 | acc 1.000/0.000 | pre
Ep   3700 | loss 0.0000/21.5260 | acc 1.000/0.000 | pre
Ep   3800 | loss 0.0000/21.3892 | acc 1.000/0.000 | pre
Ep   3900 | loss 0.0000/21.2514 | acc 1.000/0.000 | pre
Ep   4000 | loss 0.0000/21.1143 | acc 1.000/0.000 | pre
Ep   4100 | loss 0.0000/20.9776 | acc 1.000/0.000 | pre
Ep   4200 | loss 0.0000/20.8440 | acc 1.000/0.000 | pre
Ep   4300 | loss 0.0000/20.7093 | acc 1.000/0.000 | pre
