metric,corr_with_test_acc,frac_change_before_grok
condition_number_layers_0_weight,0.9856,0.7852
fourier_mean_entropy_hidden_1,-0.9756,0.7318
fourier_mean_frac_explained_hidden_1,0.9723,0.7931
eff_rank_layers_0_weight,-0.9695,0.6383
fourier_mean_frac_explained_hidden_0,0.9111,0.8288
fourier_mean_entropy_hidden_0,-0.908,0.8249
eff_rank_layers_2_weight,-0.8719,0.867
condition_number_layers_2_weight,0.8611,0.8163
test_loss,-0.8434,0.9712
eff_rank_layers_1_weight,-0.8079,0.8909
fourier_mean_top_freq_hidden_0,-0.7905,0.513
sign_stability_layers_2_weight,-0.7318,0.9515
condition_number_layers_1_weight,0.6935,1.1963
l2_layers_1_weight,-0.6104,1.0624
test_entropy,-0.5907,0.9605
l2_layers_0_bias,-0.5901,0.6833
l2_layers_0_weight,-0.5849,1.0669
l2_layers_1_bias,0.5406,0.9818
sign_stability_layers_1_weight,-0.5371,0.9652
weight_dist_init_layers_1_weight,-0.516,1.0421
sign_stability_layers_0_weight,-0.5125,0.9665
weight_dist_init_layers_1_bias,0.5055,0.9861
l2_layers_2_weight,-0.473,1.0498
weight_dist_init_layers_0_weight,-0.4699,1.0448
sign_stability_layers_0_bias,-0.3796,1.0
weight_dist_init_layers_2_weight,-0.3773,1.0351
fourier_mean_top_freq_hidden_1,-0.3492,0.7817
margin,0.2346,0.9952
weight_dist_init_layers_0_bias,-0.2341,0.8474
update_weight_ratio_layers_2_bias,-0.229,0.9885
sparsity_hidden_0,0.2086,0.953
sparsity_hidden_1,-0.1908,1.0011
update_weight_ratio_layers_1_bias,-0.1512,0.9954
sign_stability_layers_1_bias,-0.1423,1.0
dead_frac_hidden_1,-0.1326,1.0
update_weight_ratio_layers_1_weight,-0.1185,0.9901
update_weight_ratio_layers_2_weight,-0.111,0.9877
update_weight_ratio_layers_0_weight,-0.1109,0.9871
grad_norm_layers_1_bias,-0.1016,1.0
weight_dist_init_layers_2_bias,-0.0996,1.0074
update_weight_ratio_layers_0_bias,0.0994,0.9685
grad_norm_layers_0_bias,-0.0971,1.0001
grad_norm_layers_2_weight,-0.0919,1.0
train_loss,-0.0896,1.0
grad_norm_layers_1_weight,-0.0892,1.0
cka_vs_prev,0.0877,0.9993
grad_norm_layers_0_weight,-0.087,1.0
l2_layers_2_bias,-0.0825,0.8529
grad_norm_layers_2_bias,-0.0759,1.0
sign_stability_layers_2_bias,0.0613,0.9818
dead_frac_hidden_0,,
