Task: add mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.7283/4.7285 | acc 0.008/0.009 | pre
Ep    100 | loss 3.6522/5.7256 | acc 0.144/0.000 | pre
Ep    200 | loss 1.3377/8.8335 | acc 0.834/0.000 | pre
Ep    300 | loss 0.1762/12.4983 | acc 1.000/0.000 | pre
Ep    400 | loss 0.0455/14.3212 | acc 1.000/0.000 | pre
Ep    500 | loss 0.0161/15.5955 | acc 1.000/0.000 | pre
Ep    600 | loss 0.0061/16.8113 | acc 1.000/0.000 | pre
Ep    700 | loss 0.0023/18.0113 | acc 1.000/0.000 | pre
Ep    800 | loss 0.0009/19.2106 | acc 1.000/0.000 | pre
Ep    900 | loss 0.0004/20.3925 | acc 1.000/0.000 | pre
Ep   1000 | loss 0.0001/21.5547 | acc 1.000/0.000 | pre
Ep   1100 | loss 0.0001/22.6603 | acc 1.000/0.000 | pre
Ep   1200 | loss 0.0000/23.6609 | acc 1.000/0.000 | pre
Ep   1300 | loss 0.0000/24.4905 | acc 1.000/0.000 | pre
Ep   1400 | loss 0.0000/25.0521 | acc 1.000/0.000 | pre
Ep   1500 | loss 0.0000/25.3033 | acc 1.000/0.000 | pre
Ep   1600 | loss 0.0000/25.2762 | acc 1.000/0.000 | pre
Ep   1700 | loss 0.0000/25.0837 | acc 1.000/0.000 | pre
Ep   1800 | loss 0.0000/24.8407 | acc 1.000/0.000 | pre
Ep   1900 | loss 0.0000/24.5950 | acc 1.000/0.000 | pre
Ep   2000 | loss 0.0000/24.3559 | acc 1.000/0.000 | pre
Ep   2100 | loss 0.0000/24.1286 | acc 1.000/0.000 | pre
Ep   2200 | loss 0.0000/23.9082 | acc 1.000/0.000 | pre
Ep   2300 | loss 0.0000/23.6879 | acc 1.000/0.001 | pre
Ep   2400 | loss 0.0000/23.4732 | acc 1.000/0.001 | pre
Ep   2500 | loss 0.0000/23.2708 | acc 1.000/0.001 | pre
Ep   2600 | loss 0.0000/23.0765 | acc 1.000/0.000 | pre
Ep   2700 | loss 0.0000/22.8846 | acc 1.000/0.000 | pre
Ep   2800 | loss 0.0000/22.6967 | acc 1.000/0.000 | pre
Ep   2900 | loss 0.0000/22.5131 | acc 1.000/0.000 | pre
Ep   3000 | loss 0.0000/22.3290 | acc 1.000/0.000 | pre
Ep   3100 | loss 0.0000/22.1476 | acc 1.000/0.000 | pre
Ep   3200 | loss 0.0000/21.9712 | acc 1.000/0.000 | pre
Ep   3300 | loss 0.0000/21.8040 | acc 1.000/0.001 | pre
Ep   3400 | loss 0.0000/21.6408 | acc 1.000/0.001 | pre
Ep   3500 | loss 0.0000/21.4797 | acc 1.000/0.001 | pre
Ep   3600 | loss 0.0000/21.3231 | acc 1.000/0.001 | pre
Ep   3700 | loss 0.0000/21.1681 | acc 1.000/0.001 | pre
Ep   3800 | loss 0.0000/21.0134 | acc 1.000/0.001 | pre
Ep   3900 | loss 0.0000/20.8630 | acc 1.000/0.001 | pre
Ep   4000 | loss 0.0000/20.7107 | acc 1.000/0.001 | pre
Ep   4100 | loss 0.0000/20.5606 | acc 1.000/0.001 | pre
Ep   4200 | loss 0.0000/20.4082 | acc 1.000/0.001 | pre
Ep   4300 | loss 0.0000/20.2575 | acc 1.000/0.001 | pre
Ep   4400 | loss 0.0000/20.1049 | acc 1.000/0.001 | pre
Ep   4500 | loss 0.0000/19.9497 | acc 1.000/0.001 | pre
Ep   4600 | loss 0.0000/19.7952 | acc 1.000/0.001 | pre
Ep   4700 | loss 0.0000/19.6430 | acc 1.000/0.001 | pre
