metric,corr_with_test_acc,frac_change_before_grok
fourier_mean_frac_explained_hidden_1,0.9736,0.7898
condition_number_layers_0_weight,0.9333,0.6059
test_confidence,0.9303,0.669
eff_rank_layers_0_weight,-0.929,0.6281
test_loss,-0.9286,0.9786
group_assoc_frac,0.9273,0.8521
fourier_mean_entropy_hidden_1,-0.9187,0.6422
fourier_mean_entropy_hidden_0,-0.9144,0.881
fourier_mean_frac_explained_hidden_0,0.902,0.8952
weight_fourier_frac_y_layers_0_weight,0.8992,0.9006
weight_fourier_frac_mean_layers_0_weight,0.897,0.9009
weight_fourier_frac_x_layers_0_weight,0.8947,0.9011
eff_rank_layers_1_weight,-0.893,0.7406
eff_rank_layers_2_weight,-0.8854,0.6851
margin,0.8789,0.9982
condition_number_layers_2_weight,0.8448,0.6326
fourier_mean_top_freq_hidden_1,0.8227,1.0938
test_entropy,-0.7862,0.9659
idim_hidden_1,-0.7685,0.2778
fourier_mean_top_freq_hidden_0,0.7682,1.2156
group_has_identity,0.5869,0.0
l2_layers_2_bias,-0.5759,3.232
sign_stability_layers_0_weight,-0.5304,0.9737
sign_stability_layers_2_weight,-0.5172,0.9525
weight_dist_init_layers_1_bias,0.4768,1.0272
grad_alignment,-0.4689,1.453
grad_norm_layers_1_bias,-0.4685,1.0
l2_layers_1_bias,0.4667,1.0354
sign_stability_layers_1_weight,-0.4583,0.9747
grad_norm_layers_2_weight,-0.4554,1.0
update_weight_ratio_layers_0_weight,-0.4521,0.9677
grad_norm_layers_1_weight,-0.4482,1.0
update_weight_ratio_layers_1_weight,-0.4472,0.9641
update_weight_ratio_layers_1_bias,-0.4471,0.9562
update_weight_ratio_layers_2_bias,-0.4464,0.9243
update_weight_ratio_layers_2_weight,-0.4433,0.9772
grad_norm_layers_0_weight,-0.4419,1.0
grad_norm_layers_0_bias,-0.4407,1.0
update_weight_ratio_layers_0_bias,-0.4369,0.979
weight_dist_init_layers_2_bias,-0.4088,1.4074
sign_stability_layers_1_bias,-0.4033,1.0104
train_loss,-0.3911,1.0
sign_stability_layers_2_bias,-0.3863,0.9231
weight_dist_init_layers_2_weight,0.3774,1.0484
cka_vs_prev,0.3531,0.9986
condition_number_layers_1_weight,0.3528,0.9113
l2_layers_2_weight,0.3465,1.0607
weight_dist_init_layers_0_bias,0.3286,0.9608
sparsity_hidden_1,-0.3228,1.0018
weight_dist_init_layers_0_weight,0.3162,1.0602
dead_frac_hidden_1,-0.3029,1.0
sparsity_hidden_0,0.2957,0.9797
idim_hidden_0,0.2876,1.1818
grad_norm_layers_2_bias,-0.2629,1.0
l2_layers_0_weight,0.2529,1.0832
l2_layers_0_bias,0.1887,0.862
sign_stability_layers_0_bias,-0.1815,1.0108
weight_dist_init_layers_1_weight,0.1628,1.0922
total_weight_sq,0.1578,1.1567
l2_layers_1_weight,0.1015,1.1186
logit_fourier_frac,-0.073,1.0062
logit_fourier_entropy,-0.0618,1.1277
dead_frac_hidden_0,,
