Task: multiply mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.7293/4.7285 | acc 0.005/0.011 | pre
Ep    100 | loss 3.6339/5.5645 | acc 0.161/0.016 | pre
Ep    200 | loss 1.3604/8.4807 | acc 0.810/0.016 | pre
Ep    300 | loss 0.1775/12.0401 | acc 1.000/0.016 | pre
Ep    400 | loss 0.0447/13.8229 | acc 1.000/0.016 | pre
Ep    500 | loss 0.0158/15.0738 | acc 1.000/0.016 | pre
Ep    600 | loss 0.0059/16.2685 | acc 1.000/0.016 | pre
Ep    700 | loss 0.0023/17.4318 | acc 1.000/0.016 | pre
Ep    800 | loss 0.0009/18.5792 | acc 1.000/0.016 | pre
Ep    900 | loss 0.0004/19.7155 | acc 1.000/0.016 | pre
Ep   1000 | loss 0.0001/20.8169 | acc 1.000/0.016 | pre
Ep   1100 | loss 0.0001/21.8482 | acc 1.000/0.016 | pre
Ep   1200 | loss 0.0000/22.7816 | acc 1.000/0.016 | pre
Ep   1300 | loss 0.0000/23.5529 | acc 1.000/0.016 | pre
Ep   1400 | loss 0.0000/24.0684 | acc 1.000/0.016 | pre
Ep   1500 | loss 0.0000/24.2788 | acc 1.000/0.016 | pre
Ep   1600 | loss 0.0000/24.2245 | acc 1.000/0.016 | pre
Ep   1700 | loss 0.0000/24.0203 | acc 1.000/0.016 | pre
Ep   1800 | loss 0.0000/23.7674 | acc 1.000/0.016 | pre
Ep   1900 | loss 0.0000/23.5097 | acc 1.000/0.016 | pre
Ep   2000 | loss 0.0000/23.2579 | acc 1.000/0.016 | pre
Ep   2100 | loss 0.0000/23.0176 | acc 1.000/0.016 | pre
Ep   2200 | loss 0.0000/22.7924 | acc 1.000/0.016 | pre
Ep   2300 | loss 0.0000/22.5815 | acc 1.000/0.016 | pre
Ep   2400 | loss 0.0000/22.3783 | acc 1.000/0.016 | pre
Ep   2500 | loss 0.0000/22.1844 | acc 1.000/0.016 | pre
Ep   2600 | loss 0.0000/22.0008 | acc 1.000/0.016 | pre
Ep   2700 | loss 0.0000/21.8186 | acc 1.000/0.016 | pre
Ep   2800 | loss 0.0000/21.6409 | acc 1.000/0.016 | pre
Ep   2900 | loss 0.0000/21.4658 | acc 1.000/0.016 | pre
Ep   3000 | loss 0.0000/21.2929 | acc 1.000/0.017 | pre
Ep   3100 | loss 0.0000/21.1171 | acc 1.000/0.017 | pre
Ep   3200 | loss 0.0000/20.9495 | acc 1.000/0.017 | pre
Ep   3300 | loss 0.0000/20.7830 | acc 1.000/0.017 | pre
Ep   3400 | loss 0.0000/20.6186 | acc 1.000/0.017 | pre
Ep   3500 | loss 0.0000/20.4528 | acc 1.000/0.017 | pre
Ep   3600 | loss 0.0000/20.2901 | acc 1.000/0.017 | pre
Ep   3700 | loss 0.0000/20.1262 | acc 1.000/0.017 | pre
Ep   3800 | loss 0.0000/19.9620 | acc 1.000/0.017 | pre
Ep   3900 | loss 0.0000/19.8017 | acc 1.000/0.017 | pre
Ep   4000 | loss 0.0000/19.6368 | acc 1.000/0.017 | pre
Ep   4100 | loss 0.0000/19.4686 | acc 1.000/0.017 | pre
Ep   4200 | loss 0.0000/19.2973 | acc 1.000/0.017 | pre
Ep   4300 | loss 0.0000/19.1253 | acc 1.000/0.017 | pre
Ep   4400 | loss 0.0000/18.9548 | acc 1.000/0.017 | pre
Ep   4500 | loss 0.0000/18.7830 | acc 1.000/0.017 | pre
Ep   4600 | loss 0.0000/18.6101 | acc 1.000/0.017 | pre
Ep   4700 | loss 0.0000/18.4386 | acc 1.000/0.017 | pre
Ep   4800 | loss 0.0000/18.2682 | acc 1.000/0.017 | pre
Ep   4900 | loss 0.0000/18.0974 | acc 1.000/0.017 | pre
Ep   5000 | loss 0.0000/17.9291 | acc 1.000/0.017 | pre
Ep   5100 | loss 0.0000/17.7628 | acc 1.000/0.017 | pre
Ep   5200 | loss 0.0000/17.6022 | acc 1.000/0.018 | pre
Ep   5300 | loss 0.0000/17.4445 | acc 1.000/0.018 | pre
Ep   5400 | loss 0.0000/17.2894 | acc 1.000/0.018 | pre
Ep   5500 | loss 0.0000/17.1401 | acc 1.000/0.018 | pre
Ep   5600 | loss 0.0000/16.9926 | acc 1.000/0.018 | pre
Ep   5700 | loss 0.0000/16.8423 | acc 1.000/0.018 | pre
Ep   5800 | loss 0.0000/16.6912 | acc 1.000/0.018 | pre
Ep   5900 | loss 0.0000/16.5396 | acc 1.000/0.018 | pre
