metric,corr_with_test_acc,frac_change_before_grok
fourier_mean_frac_explained_hidden_1,-0.9685,0.7673
eff_rank_layers_0_weight,-0.9628,0.6556
group_assoc_frac,0.9479,0.7996
fourier_mean_entropy_hidden_1,0.9411,0.8908
weight_fourier_frac_x_layers_0_weight,-0.9343,0.8021
weight_fourier_frac_mean_layers_0_weight,-0.934,0.7351
weight_fourier_frac_y_layers_0_weight,-0.9254,0.6383
idim_hidden_1,-0.9222,0.8667
fourier_mean_frac_explained_hidden_0,-0.9072,0.5491
condition_number_layers_2_weight,0.896,0.9567
test_confidence,0.8861,0.6684
eff_rank_layers_2_weight,-0.8576,0.8875
condition_number_layers_0_weight,0.8293,1.9393
test_loss,-0.8245,0.9686
logit_fourier_entropy,0.8242,0.9775
eff_rank_layers_1_weight,-0.8027,0.9042
idim_hidden_0,-0.7772,
sign_stability_layers_2_weight,-0.7699,0.9637
condition_number_layers_1_weight,0.721,0.2477
total_weight_sq,-0.7034,1.1025
logit_fourier_frac,-0.6986,0.9632
group_has_identity,0.6607,0.0
l2_layers_1_weight,-0.6354,1.0612
l2_layers_0_weight,-0.6187,1.0659
test_entropy,-0.6116,0.964
sign_stability_layers_0_weight,-0.6043,0.9755
sign_stability_layers_1_weight,-0.5877,0.9743
weight_dist_init_layers_1_weight,-0.5509,1.0418
weight_dist_init_layers_0_weight,-0.5124,1.0441
l2_layers_2_weight,-0.5101,1.0513
fourier_mean_entropy_hidden_0,-0.4686,0.9109
weight_dist_init_layers_2_weight,-0.4221,1.0377
sparsity_hidden_0,0.417,1.0029
l2_layers_2_bias,-0.3688,0.909
l2_layers_1_bias,0.364,1.0307
weight_dist_init_layers_1_bias,0.3561,1.0248
grad_alignment,-0.3324,0.9811
weight_dist_init_layers_2_bias,-0.2867,1.0224
margin,0.1982,0.9849
sign_stability_layers_0_bias,0.1939,1.0312
sharpness,-0.188,0.9997
weight_dist_init_layers_0_bias,0.1862,0.9577
sign_stability_layers_2_bias,-0.1721,1.0588
l2_layers_0_bias,-0.1414,0.938
update_weight_ratio_layers_2_bias,-0.1344,0.9908
update_weight_ratio_layers_1_bias,-0.1204,0.9941
fourier_mean_top_freq_hidden_1,-0.1159,-1.1013
sparsity_hidden_1,-0.1072,1.0012
grad_norm_layers_0_bias,-0.1017,1.0
grad_norm_layers_2_weight,-0.0982,1.0
grad_norm_layers_1_weight,-0.0962,1.0
update_weight_ratio_layers_1_weight,-0.094,0.9928
grad_norm_layers_0_weight,-0.094,1.0
grad_norm_layers_1_bias,-0.0934,1.0
sign_stability_layers_1_bias,-0.0887,1.0
update_weight_ratio_layers_2_weight,-0.0867,0.9937
update_weight_ratio_layers_0_weight,-0.0859,0.9917
update_weight_ratio_layers_0_bias,-0.0856,0.9741
train_loss,-0.0855,1.0
fourier_mean_top_freq_hidden_0,0.0817,0.1154
cka_vs_prev,0.071,0.9999
dead_frac_hidden_1,-0.0666,1.0
grad_norm_layers_2_bias,-0.0619,1.0
dead_frac_hidden_0,,
