metric,corr_with_test_acc,frac_change_before_grok
group_assoc_frac,0.9778,0.8547
idim_hidden_1,-0.9726,0.7736
eff_rank_layers_2_weight,-0.965,0.8068
weight_fourier_frac_x_layers_0_weight,0.9633,0.8654
condition_number_layers_2_weight,0.9603,0.7557
eff_rank_layers_0_weight,-0.9575,0.7012
weight_fourier_frac_mean_layers_0_weight,0.9562,0.8594
fourier_mean_frac_explained_hidden_0,0.9559,0.9031
condition_number_layers_0_weight,0.9483,1.1726
weight_fourier_frac_y_layers_0_weight,0.9468,0.853
fourier_mean_frac_explained_hidden_1,-0.9422,0.9439
eff_rank_layers_1_weight,-0.935,0.8346
fourier_mean_entropy_hidden_0,-0.9041,0.9366
test_confidence,0.9035,0.6844
fourier_mean_entropy_hidden_1,0.8925,0.9778
test_loss,-0.8902,0.9707
l2_layers_0_bias,-0.8781,-1.3632
sign_stability_layers_2_weight,-0.8203,0.9292
fourier_mean_top_freq_hidden_0,0.8068,0.3646
sparsity_hidden_0,0.7811,1.6097
sign_stability_layers_0_weight,-0.7236,0.9546
sign_stability_layers_1_weight,-0.7118,0.9647
total_weight_sq,-0.7101,1.136
weight_dist_init_layers_0_bias,-0.6803,1.0704
l2_layers_1_weight,-0.6324,1.0768
idim_hidden_0,-0.6133,1.875
test_entropy,-0.5947,0.9686
l2_layers_0_weight,-0.5729,1.0784
l2_layers_2_bias,-0.559,0.7957
weight_dist_init_layers_1_weight,-0.5492,1.0554
sign_stability_layers_0_bias,-0.5456,0.8791
group_has_identity,0.5281,0.0
l2_layers_2_weight,-0.5256,1.0753
logit_fourier_entropy,0.5112,0.9321
condition_number_layers_1_weight,0.4823,0.0285
logit_fourier_frac,-0.4783,0.89
weight_dist_init_layers_1_bias,0.472,0.9482
update_weight_ratio_layers_0_bias,0.4719,1.3045
weight_dist_init_layers_2_bias,-0.47,1.0257
l2_layers_1_bias,0.4674,0.9397
weight_dist_init_layers_0_weight,-0.4639,1.0559
weight_dist_init_layers_2_weight,-0.4423,1.0554
fourier_mean_top_freq_hidden_1,-0.4349,0.8116
margin,0.3948,0.9789
sign_stability_layers_1_bias,-0.345,0.9897
sign_stability_layers_2_bias,-0.3419,0.9344
sharpness,-0.3346,1.0001
update_weight_ratio_layers_2_bias,-0.3103,0.973
grad_alignment,-0.2634,1.1286
sparsity_hidden_1,-0.2043,1.0055
update_weight_ratio_layers_1_bias,-0.1999,0.9888
update_weight_ratio_layers_1_weight,-0.1947,0.9781
update_weight_ratio_layers_0_weight,-0.186,0.9749
update_weight_ratio_layers_2_weight,-0.1834,0.9785
grad_norm_layers_1_bias,-0.182,1.0
grad_norm_layers_2_weight,-0.1812,1.0
grad_norm_layers_1_weight,-0.1791,1.0
dead_frac_hidden_1,-0.1782,1.0
grad_norm_layers_0_weight,-0.1771,1.0
grad_norm_layers_0_bias,-0.1738,0.9999
train_loss,-0.1551,1.0
cka_vs_prev,0.1326,0.9997
grad_norm_layers_2_bias,-0.1041,1.0
dead_frac_hidden_0,,
