epoch,grad_norm_layers_0_weight,grad_norm_layers_0_bias,grad_norm_layers_1_weight,grad_norm_layers_1_bias,grad_norm_layers_2_weight,grad_norm_layers_2_bias,train_loss,test_loss,train_acc,test_acc,acc_gap,grokking_score,l2_layers_0_weight,eff_rank_layers_0_weight,condition_number_layers_0_weight,weight_dist_init_layers_0_weight,sign_stability_layers_0_weight,update_weight_ratio_layers_0_weight,l2_layers_0_bias,weight_dist_init_layers_0_bias,sign_stability_layers_0_bias,update_weight_ratio_layers_0_bias,l2_layers_1_weight,eff_rank_layers_1_weight,condition_number_layers_1_weight,weight_dist_init_layers_1_weight,sign_stability_layers_1_weight,update_weight_ratio_layers_1_weight,l2_layers_1_bias,weight_dist_init_layers_1_bias,sign_stability_layers_1_bias,update_weight_ratio_layers_1_bias,l2_layers_2_weight,eff_rank_layers_2_weight,condition_number_layers_2_weight,weight_dist_init_layers_2_weight,sign_stability_layers_2_weight,update_weight_ratio_layers_2_weight,l2_layers_2_bias,weight_dist_init_layers_2_bias,sign_stability_layers_2_bias,update_weight_ratio_layers_2_bias,total_weight_sq,dead_frac_hidden_0,sparsity_hidden_0,dead_frac_hidden_1,sparsity_hidden_1,margin,test_entropy,test_confidence,sharpness,fourier_mean_top_freq_hidden_0,fourier_mean_frac_explained_hidden_0,fourier_mean_entropy_hidden_0,fourier_key_freqs_hidden_0,fourier_mean_top_freq_hidden_1,fourier_mean_frac_explained_hidden_1,fourier_mean_entropy_hidden_1,fourier_key_freqs_hidden_1,logit_fourier_frac,logit_fourier_entropy,idim_hidden_0,idim_hidden_1,group_assoc_frac,group_has_identity,weight_fourier_frac_x_layers_0_weight,weight_fourier_frac_y_layers_0_weight,weight_fourier_frac_mean_layers_0_weight,phase,grad_alignment,cka_vs_prev
0,0.002346130320802331,0.002081832615658641,0.002802052302286029,0.004837484564632177,0.005113107152283192,0.010066142305731773,4.788362503051758,4.788594722747803,0.008333333767950535,0.008055555634200573,0.00027777813374996185,0.9666666256884755,8.179510746806859,171.14593505859375,18.744720458984375,0.020425254479050636,0.9992291331291199,0.0024971241317022505,0.49379060433419164,0.00141730101313442,0.9950000047683716,0.0028702470693824918,8.162246078584207,161.20346069335938,443.8999938964844,0.019095225259661674,0.9993249773979187,0.00233945728216553,0.5667700815736253,0.0013776274863630533,1.0,0.0024306637609708623,6.319385663365824,108.79937744140625,7.548710823059082,0.014694856479763985,0.9990416765213013,0.0023253616057037985,0.4707117515185023,0.0011168093187734485,1.0,0.002372597130941124,174.24791930615902,0.0,0.5029395818710327,0.04999999701976776,0.4714076519012451,7.152557373046875e-07,4.786493301391602,0.0057815988548099995,0.050086379051208496,31.67,0.045572865039103884,5.951096756458282,"[7, 51, 36]",29.005,0.03482091723437148,6.536723840236664,"[7, 51, 50]",0.8686143407416207,1.0315127023806174,109.0,67.0,0.27901792526245117,0.0,0.07900679111480713,0.07856320589780807,0.0787849985063076,pre,,
100,0.026879409328103065,0.004102111328393221,0.022431114688515663,0.002899953629821539,0.027264952659606934,0.0010731854708865285,4.149348735809326,5.658200740814209,0.07666666805744171,0.0,0.07666666805744171,0.0,21.211058356009282,165.24000549316406,26.740154266357422,17.025175094604492,0.7196041345596313,0.01096094430810714,1.1264561659830468,0.9859157800674438,0.5450000166893005,0.004113360972745462,20.791742094077655,137.18435668945312,13179.044921875,16.541278839111328,0.715025007724762,0.01053093922466308,0.9654239655143185,0.7801253199577332,0.6499999761581421,0.01117769481141284,16.817069981820183,98.3629379272461,15.123150825500488,13.099066734313965,0.7461249828338623,0.010163465828693426,0.6552783948821653,0.40542617440223694,0.7833333611488342,0.00818210427936899,1167.6497153639793,0.0,0.32873958349227905,0.019999999552965164,0.06349583715200424,6.365776062011719e-05,4.5425519943237305,0.19786785542964935,,,,,,,,,,,,,,,,,,,pre,0.05086496099829674,0.36922185868024826
200,0.054885201156139374,0.01667521707713604,0.04069831594824791,0.002830508165061474,0.0465485043823719,0.0006938422448001802,2.372422456741333,7.840063095092773,0.5180555582046509,0.0,0.5180555582046509,0.0,35.27810998261263,170.36680603027344,20.89402961730957,31.542964935302734,0.6985833048820496,0.005301636437878902,0.8733758157366225,0.7352160215377808,0.5899999737739563,0.0024857774235701466,36.532444577880874,133.8504180908203,307555.25,32.754276275634766,0.6945750117301941,0.005124324768442065,1.8246618218827428,1.7117881774902344,0.5649999976158142,0.005513936396787142,29.989355614872963,98.2770004272461,17.741159439086914,26.51975440979004,0.7265833020210266,0.004822560192485444,1.0199835347735309,0.8128763437271118,0.7416667342185974,0.006113047169247901,3483.6585434675217,0.0,0.40028610825538635,0.014999999664723873,0.04595833271741867,8.7738037109375e-05,3.6864984035491943,0.4199540317058563,,,,,,,,,,,,,,,,,,,pre,0.6929571032524109,0.7502148449420929
300,0.046519916504621506,0.022451777011156082,0.03336741030216217,0.0024254051968455315,0.037374552339315414,0.00042442258563824,0.7372308373451233,10.576244354248047,0.9629166722297668,0.00013888889225199819,0.9627777833375148,0.00014423770639507334,44.87522985882983,170.23013305664062,24.024032592773438,41.37987518310547,0.6806250214576721,0.002938933312057561,0.8330000489064324,0.704308807849884,0.6049999594688416,0.0015216774122724164,47.810043850311935,133.7918243408203,1654.76220703125,44.331390380859375,0.6811749935150146,0.002781218959734355,2.4444557127066706,2.3411755561828613,0.5649999976158142,0.0023598991865872608,39.93229744087172,98.97970581054688,17.425987243652344,36.618438720703125,0.7199999690055847,0.0025482643427185603,1.3677166595941561,1.202926516532898,0.675000011920929,0.003713760288180173,5902.714828431606,0.0,0.41669028997421265,0.014999999664723873,0.04509444534778595,0.00018358230590820312,2.582484245300293,0.7677804827690125,,,,,,,,,,,,,,,,,,,pre,0.747183620929718,0.9199346601963043
400,0.01828712224960327,0.008583941496908665,0.013253391720354557,0.0008743685903027654,0.014900057576596737,0.0001330809755017981,0.15861278772354126,13.149887084960938,1.0,0.0006944444612599909,0.99930555553874,0.0006944444612599909,50.349593275107495,169.94114685058594,26.361557006835938,46.98611831665039,0.6712083220481873,0.001457739671415542,0.8274802090908717,0.7091853022575378,0.5899999737739563,0.001152499875475534,54.48292764065524,134.41888427734375,3752.58935546875,51.18416976928711,0.6706500053405762,0.0013974573981858616,2.7669696879379226,2.6728525161743164,0.5649999976158142,0.001047166326413475,45.88353547978839,99.42720794677734,16.092737197875977,42.664825439453125,0.715916633605957,0.0012633201889156336,1.5875188150567474,1.4622609615325928,0.6500000357627869,0.001783561034770929,7619.6308361291885,0.0,0.4214152693748474,0.009999999776482582,0.04390416666865349,1.2607851028442383,1.8698676824569702,1.089977502822876,,,,,,,,,,,,,,,,,,,pre,0.7520647048950195,0.9743308424949646
500,0.007351178675889969,0.0031195757910609245,0.005251212976872921,0.00028568715788424015,0.005853455513715744,4.595681821228936e-05,0.049712833017110825,14.462645530700684,1.0,0.0005555555690079927,0.999444444430992,0.0005555555690079927,52.9533578299691,169.62567138671875,26.507328033447266,49.67531204223633,0.6661666631698608,0.0009829115539367233,0.8093445466546277,0.7024032473564148,0.5899999737739563,0.0008182926175860261,57.77841689579574,134.9763946533203,7560.8525390625,54.60236740112305,0.6644749641418457,0.0009390528013424431,2.9362452647697554,2.8514351844787598,0.5600000023841858,0.0007909128542384174,48.765317104923554,99.561279296875,15.584949493408203,45.620338439941406,0.7136666774749756,0.0008493858170148163,1.6954079877972352,1.595643401145935,0.6250000596046448,0.0014393257813554146,8532.610699892044,0.0,0.4240131974220276,0.009999999776482582,0.0428430549800396,2.626376152038574,1.5705927610397339,1.285987138748169,,29.35,0.053923394850379926,5.787071323394775,"[53, 57, 1]",32.695,0.03980443747699822,6.42958776473999,"[59, 53, 4]",0.052053559325347706,7.199329570929209,131.0,76.0,0.07323379814624786,0.0,0.09017253667116165,0.08753009885549545,0.08885131776332855,pre,0.8219820261001587,0.9900790750980377
600,0.0032367175444960594,0.0014996370300650597,0.002280007116496563,0.00012538849841803312,0.0025043771602213383,1.8222432117909193e-05,0.01853533647954464,15.200510025024414,1.0,0.0005555555690079927,0.999444444430992,0.0005555555690079927,54.67863097725541,169.35879516601562,25.52329444885254,51.47514724731445,0.6618750095367432,0.0008204542798689101,0.7833957197493605,0.6896526217460632,0.5799999833106995,0.0010069951535628806,60.00226843042582,135.23110961914062,4082.498291015625,56.930206298828125,0.6593250036239624,0.000791671229560751,3.0748419124005193,2.997359275817871,0.5649999976158142,0.0006899037165657943,50.63784077119353,99.5372085571289,15.687433242797852,47.563751220703125,0.7117916345596313,0.0007189373895054136,1.7863804732576445,1.7078213691711426,0.5916666984558105,0.0013448118194055673,9167.475337147713,0.0,0.4261166751384735,0.009999999776482582,0.04174305498600006,3.752091407775879,1.3892643451690674,1.4364985227584839,,,,,,,,,,,,,,,,,,,pre,0.8266230225563049,0.9929973483085632
700,0.0014186493353918195,0.000733286899048835,0.0010108306305482984,5.6278437114087865e-05,0.0011006802087649703,7.689391168241855e-06,0.007362897042185068,15.80926513671875,1.0,0.0011111111380159855,0.998888888861984,0.0011111111380159855,56.132616235739,169.12759399414062,25.12433624267578,52.99538040161133,0.6581041812896729,0.0007410217143875746,0.7614052151697033,0.6787360310554504,0.5649999976158142,0.0007902101264084965,61.860718838017476,135.25303649902344,2702.59912109375,58.88241958618164,0.6545249819755554,0.0007209602665325371,3.206259333725221,3.1345033645629883,0.5649999976158142,0.0006616530734231923,52.16665002662141,99.47386932373047,15.806056022644043,49.16114044189453,0.7083333134651184,0.0006316234474877614,1.8820467456197134,1.820361614227295,0.550000011920929,0.0011898730054712666,9713.380452394485,0.0,0.4277465343475342,0.009999999776482582,0.04031111299991608,4.7632341384887695,1.2462520599365234,1.5772429704666138,,,,,,,,,,,,,,,,,,,pre,0.8138465881347656,0.9943926632404327
800,0.0006147950771264732,0.0002889919269364327,0.00044957833597436547,2.5338638806715608e-05,0.0004892090219072998,3.1079518976184772e-06,0.0030167107470333576,16.456079483032227,1.0,0.001527777872979641,0.9984722221270204,0.001527777872979641,57.527383934468546,168.89830017089844,25.37824249267578,54.449668884277344,0.6557083129882812,0.000697397876160467,0.7431714011192154,0.6687796115875244,0.5600000023841858,0.0007175416752316887,63.592341047045515,135.2818145751953,1473.728515625,60.700721740722656,0.6522249579429626,0.0006720488978081505,3.33293699451391,3.266489267349243,0.5649999976158142,0.0005902494122178848,53.582866059555364,99.41303253173828,15.78715991973877,50.640750885009766,0.7055000066757202,0.0005731240560210614,1.9731586081029353,1.92568838596344,0.5416666865348816,0.0009974820619317096,10240.063404977322,0.0,0.42904582619667053,0.009999999776482582,0.03899652883410454,5.624851226806641,1.1242953538894653,1.7214561700820923,,,,,,,,,,,,,,,,,,,pre,0.8309206366539001,0.9953838884830475
900,0.0002681095211300999,0.00013495721213985234,0.00020017493807245046,1.1228769835724961e-05,0.00021835195366293192,1.312494987359969e-06,0.0012523774057626724,17.162660598754883,1.0,0.0023611111100763083,0.9976388888899237,0.0023611111100763083,58.89774059890795,168.6471405029297,25.274227142333984,55.873775482177734,0.653291642665863,0.000655957467593745,0.726288692605784,0.659028947353363,0.5649999976158142,0.0006720718595672199,65.23964986158724,135.39881896972656,7773.07177734375,62.42494201660156,0.6474249958992004,0.0006587247673644802,3.451549049582637,3.389984607696533,0.5600000023841858,0.0005763787557300119,54.940761777459,99.40089416503906,15.514090538024902,52.05419921875,0.7018749713897705,0.0005724128223744238,2.059568228795176,2.024418830871582,0.5250000357627869,0.0008583936391656552,10760.325573801994,0.0,0.4301583468914032,0.004999999888241291,0.03580902889370918,6.479913711547852,1.0202360153198242,1.8717669248580933,,,,,,,,,,,,,,,,,,,pre,0.8322577476501465,0.9960117638111115
