Task: x2xyy2 mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.7280/4.7281 | acc 0.011/0.009 | pre
Ep    100 | loss 3.3978/5.3026 | acc 0.206/0.005 | pre
Ep    200 | loss 1.2084/7.4135 | acc 0.822/0.006 | pre
Ep    300 | loss 0.1572/10.3669 | acc 1.000/0.006 | pre
Ep    400 | loss 0.0402/11.9151 | acc 1.000/0.006 | pre
Ep    500 | loss 0.0141/13.0361 | acc 1.000/0.007 | pre
Ep    600 | loss 0.0053/14.1136 | acc 1.000/0.007 | pre
Ep    700 | loss 0.0020/15.1911 | acc 1.000/0.007 | pre
Ep    800 | loss 0.0008/16.2608 | acc 1.000/0.007 | pre
Ep    900 | loss 0.0003/17.3263 | acc 1.000/0.008 | pre
Ep   1000 | loss 0.0001/18.3839 | acc 1.000/0.008 | pre
Ep   1100 | loss 0.0001/19.3969 | acc 1.000/0.008 | pre
Ep   1200 | loss 0.0000/20.3276 | acc 1.000/0.007 | pre
Ep   1300 | loss 0.0000/21.0997 | acc 1.000/0.008 | pre
Ep   1400 | loss 0.0000/21.6282 | acc 1.000/0.008 | pre
Ep   1500 | loss 0.0000/21.8717 | acc 1.000/0.008 | pre
Ep   1600 | loss 0.0000/21.8886 | acc 1.000/0.008 | pre
Ep   1700 | loss 0.0000/21.7875 | acc 1.000/0.008 | pre
Ep   1800 | loss 0.0000/21.6503 | acc 1.000/0.008 | pre
Ep   1900 | loss 0.0000/21.5140 | acc 1.000/0.008 | pre
Ep   2000 | loss 0.0000/21.3858 | acc 1.000/0.008 | pre
Ep   2100 | loss 0.0000/21.2682 | acc 1.000/0.008 | pre
Ep   2200 | loss 0.0000/21.1615 | acc 1.000/0.008 | pre
Ep   2300 | loss 0.0000/21.0589 | acc 1.000/0.008 | pre
Ep   2400 | loss 0.0000/20.9669 | acc 1.000/0.008 | pre
Ep   2500 | loss 0.0000/20.8802 | acc 1.000/0.008 | pre
Ep   2600 | loss 0.0000/20.8006 | acc 1.000/0.008 | pre
Ep   2700 | loss 0.0000/20.7250 | acc 1.000/0.008 | pre
Ep   2800 | loss 0.0000/20.6534 | acc 1.000/0.008 | pre
Ep   2900 | loss 0.0000/20.5903 | acc 1.000/0.008 | pre
Ep   3000 | loss 0.0000/20.5309 | acc 1.000/0.008 | pre
Ep   3100 | loss 0.0000/20.4740 | acc 1.000/0.008 | pre
Ep   3200 | loss 0.0000/20.4208 | acc 1.000/0.008 | pre
Ep   3300 | loss 0.0000/20.3701 | acc 1.000/0.008 | pre
Ep   3400 | loss 0.0000/20.3209 | acc 1.000/0.008 | pre
Ep   3500 | loss 0.0000/20.2724 | acc 1.000/0.008 | pre
Ep   3600 | loss 0.0000/20.2275 | acc 1.000/0.009 | pre
Ep   3700 | loss 0.0000/20.1838 | acc 1.000/0.008 | pre
Ep   3800 | loss 0.0000/20.1430 | acc 1.000/0.008 | pre
Ep   3900 | loss 0.0000/20.1024 | acc 1.000/0.008 | pre
Ep   4000 | loss 0.0000/20.0662 | acc 1.000/0.008 | pre
Ep   4100 | loss 0.0000/20.0310 | acc 1.000/0.008 | pre
Ep   4200 | loss 0.0000/19.9984 | acc 1.000/0.008 | pre
Ep   4300 | loss 0.0000/19.9646 | acc 1.000/0.008 | pre
Ep   4400 | loss 0.0000/19.9322 | acc 1.000/0.008 | pre
Ep   4500 | loss 0.0000/19.9003 | acc 1.000/0.008 | pre
Ep   4600 | loss 0.0000/19.8674 | acc 1.000/0.008 | pre
Ep   4700 | loss 0.0000/19.8358 | acc 1.000/0.008 | pre
Ep   4800 | loss 0.0000/19.8067 | acc 1.000/0.008 | pre
Ep   4900 | loss 0.0000/19.7797 | acc 1.000/0.008 | pre
Ep   5000 | loss 0.0000/19.7519 | acc 1.000/0.008 | pre
Ep   5100 | loss 0.0000/19.7253 | acc 1.000/0.008 | pre
Ep   5200 | loss 0.0000/19.6988 | acc 1.000/0.008 | pre
