Task: x3xy2y mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.7270/4.7281 | acc 0.007/0.009 | pre
Ep    100 | loss 3.4491/5.3377 | acc 0.196/0.006 | pre
Ep    200 | loss 1.2499/7.5828 | acc 0.806/0.008 | pre
Ep    300 | loss 0.1658/10.6600 | acc 1.000/0.010 | pre
Ep    400 | loss 0.0421/12.2847 | acc 1.000/0.009 | pre
Ep    500 | loss 0.0148/13.4433 | acc 1.000/0.009 | pre
Ep    600 | loss 0.0055/14.5616 | acc 1.000/0.010 | pre
Ep    700 | loss 0.0021/15.6708 | acc 1.000/0.009 | pre
Ep    800 | loss 0.0008/16.7860 | acc 1.000/0.009 | pre
Ep    900 | loss 0.0003/17.9046 | acc 1.000/0.010 | pre
Ep   1000 | loss 0.0001/19.0092 | acc 1.000/0.010 | pre
Ep   1100 | loss 0.0001/20.0696 | acc 1.000/0.010 | pre
Ep   1200 | loss 0.0000/21.0461 | acc 1.000/0.010 | pre
Ep   1300 | loss 0.0000/21.8544 | acc 1.000/0.010 | pre
Ep   1400 | loss 0.0000/22.4199 | acc 1.000/0.010 | pre
Ep   1500 | loss 0.0000/22.6965 | acc 1.000/0.010 | pre
Ep   1600 | loss 0.0000/22.7380 | acc 1.000/0.009 | pre
Ep   1700 | loss 0.0000/22.6392 | acc 1.000/0.009 | pre
Ep   1800 | loss 0.0000/22.5009 | acc 1.000/0.009 | pre
Ep   1900 | loss 0.0000/22.3577 | acc 1.000/0.009 | pre
Ep   2000 | loss 0.0000/22.2239 | acc 1.000/0.009 | pre
Ep   2100 | loss 0.0000/22.0986 | acc 1.000/0.009 | pre
Ep   2200 | loss 0.0000/21.9855 | acc 1.000/0.008 | pre
Ep   2300 | loss 0.0000/21.8815 | acc 1.000/0.009 | pre
Ep   2400 | loss 0.0000/21.7858 | acc 1.000/0.009 | pre
Ep   2500 | loss 0.0000/21.6981 | acc 1.000/0.008 | pre
Ep   2600 | loss 0.0000/21.6117 | acc 1.000/0.008 | pre
Ep   2700 | loss 0.0000/21.5358 | acc 1.000/0.008 | pre
Ep   2800 | loss 0.0000/21.4645 | acc 1.000/0.008 | pre
Ep   2900 | loss 0.0000/21.3983 | acc 1.000/0.008 | pre
Ep   3000 | loss 0.0000/21.3346 | acc 1.000/0.008 | pre
Ep   3100 | loss 0.0000/21.2779 | acc 1.000/0.009 | pre
Ep   3200 | loss 0.0000/21.2226 | acc 1.000/0.009 | pre
Ep   3300 | loss 0.0000/21.1682 | acc 1.000/0.009 | pre
Ep   3400 | loss 0.0000/21.1149 | acc 1.000/0.009 | pre
Ep   3500 | loss 0.0000/21.0664 | acc 1.000/0.009 | pre
Ep   3600 | loss 0.0000/21.0213 | acc 1.000/0.009 | pre
Ep   3700 | loss 0.0000/20.9776 | acc 1.000/0.009 | pre
Ep   3800 | loss 0.0000/20.9344 | acc 1.000/0.009 | pre
Ep   3900 | loss 0.0000/20.8930 | acc 1.000/0.009 | pre
Ep   4000 | loss 0.0000/20.8525 | acc 1.000/0.009 | pre
Ep   4100 | loss 0.0000/20.8163 | acc 1.000/0.009 | pre
Ep   4200 | loss 0.0000/20.7794 | acc 1.000/0.009 | pre
Ep   4300 | loss 0.0000/20.7425 | acc 1.000/0.009 | pre
Ep   4400 | loss 0.0000/20.7066 | acc 1.000/0.009 | pre
Ep   4500 | loss 0.0000/20.6707 | acc 1.000/0.009 | pre
Ep   4600 | loss 0.0000/20.6353 | acc 1.000/0.008 | pre
Ep   4700 | loss 0.0000/20.6028 | acc 1.000/0.008 | pre
Ep   4800 | loss 0.0000/20.5729 | acc 1.000/0.008 | pre
Ep   4900 | loss 0.0000/20.5454 | acc 1.000/0.009 | pre
Ep   5000 | loss 0.0000/20.5191 | acc 1.000/0.009 | pre
Ep   5100 | loss 0.0000/20.4937 | acc 1.000/0.008 | pre
Ep   5200 | loss 0.0000/20.4671 | acc 1.000/0.008 | pre
Ep   5300 | loss 0.0000/20.4403 | acc 1.000/0.008 | pre
Ep   5400 | loss 0.0000/20.4158 | acc 1.000/0.008 | pre
Ep   5500 | loss 0.0000/20.3919 | acc 1.000/0.008 | pre
Ep   5600 | loss 0.0000/20.3692 | acc 1.000/0.008 | pre
Ep   5700 | loss 0.0000/20.3462 | acc 1.000/0.008 | pre
Ep   5800 | loss 0.0000/20.3249 | acc 1.000/0.008 | pre
Ep   5900 | loss 0.0000/20.3024 | acc 1.000/0.008 | pre
Ep   6000 | loss 0.0000/20.2817 | acc 1.000/0.008 | pre
Ep   6100 | loss 0.0000/20.2609 | acc 1.000/0.008 | pre
Ep   6200 | loss 0.0000/20.2412 | acc 1.000/0.009 | pre
Ep   6300 | loss 0.0000/20.2214 | acc 1.000/0.009 | pre
Ep   6400 | loss 0.0000/20.2038 | acc 1.000/0.008 | pre
Ep   6500 | loss 0.0000/20.1889 | acc 1.000/0.009 | pre
Ep   6600 | loss 0.0000/20.1728 | acc 1.000/0.009 | pre
Ep   6700 | loss 0.0000/20.1556 | acc 1.000/0.009 | pre
Ep   6800 | loss 0.0000/20.1392 | acc 1.000/0.009 | pre
Ep   6900 | loss 0.0000/20.1214 | acc 1.000/0.009 | pre
Ep   7000 | loss 0.0000/20.1034 | acc 1.000/0.009 | pre
Ep   7100 | loss 0.0000/20.0886 | acc 1.000/0.009 | pre
Ep   7200 | loss 0.0000/20.0724 | acc 1.000/0.009 | pre
Ep   7300 | loss 0.0000/20.0534 | acc 1.000/0.009 | pre
Ep   7400 | loss 0.0000/20.0364 | acc 1.000/0.009 | pre
Ep   7500 | loss 0.0000/20.0211 | acc 1.000/0.009 | pre
Ep   7600 | loss 0.0000/20.0066 | acc 1.000/0.009 | pre
Ep   7700 | loss 0.0000/19.9922 | acc 1.000/0.009 | pre
Ep   7800 | loss 0.0000/19.9770 | acc 1.000/0.009 | pre
Ep   7900 | loss 0.0000/19.9611 | acc 1.000/0.009 | pre
Ep   8000 | loss 0.0000/19.9447 | acc 1.000/0.009 | pre
Ep   8100 | loss 0.0000/19.9280 | acc 1.000/0.009 | pre
Ep   8200 | loss 0.0000/19.9124 | acc 1.000/0.009 | pre
Ep   8300 | loss 0.0000/19.8953 | acc 1.000/0.009 | pre
Ep   8400 | loss 0.0000/19.8797 | acc 1.000/0.009 | pre
Ep   8500 | loss 0.0000/19.8662 | acc 1.000/0.009 | pre
Ep   8600 | loss 0.0000/19.8522 | acc 1.000/0.009 | pre
Ep   8700 | loss 0.0000/19.8397 | acc 1.000/0.009 | pre
Ep   8800 | loss 0.0000/19.8273 | acc 1.000/0.009 | pre
Ep   8900 | loss 0.0000/19.8153 | acc 1.000/0.008 | pre
Ep   9000 | loss 0.0000/19.8029 | acc 1.000/0.009 | pre
Ep   9100 | loss 0.0000/19.7911 | acc 1.000/0.009 | pre
Ep   9200 | loss 0.0000/19.7794 | acc 1.000/0.009 | pre
Ep   9300 | loss 0.0000/19.7687 | acc 1.000/0.009 | pre
Ep   9400 | loss 0.0000/19.7587 | acc 1.000/0.009 | pre
Ep   9500 | loss 0.0000/19.7494 | acc 1.000/0.009 | pre
Ep   9600 | loss 0.0000/19.7402 | acc 1.000/0.009 | pre
Ep   9700 | loss 0.0000/19.7286 | acc 1.000/0.009 | pre
Ep   9800 | loss 0.0000/19.7179 | acc 1.000/0.009 | pre
Ep   9900 | loss 0.0000/19.7075 | acc 1.000/0.009 | pre
Ep  10000 | loss 0.0000/19.6958 | acc 1.000/0.009 | pre
Ep  10100 | loss 0.0000/19.6847 | acc 1.000/0.009 | pre
Ep  10200 | loss 0.0000/19.6744 | acc 1.000/0.009 | pre
Ep  10300 | loss 0.0000/19.6640 | acc 1.000/0.009 | pre
Ep  10400 | loss 0.0000/19.6542 | acc 1.000/0.009 | pre
Ep  10500 | loss 0.0000/19.6440 | acc 1.000/0.009 | pre
Ep  10600 | loss 0.0000/19.6331 | acc 1.000/0.009 | pre
Ep  10700 | loss 0.0000/19.6251 | acc 1.000/0.009 | pre
Ep  10800 | loss 0.0000/19.6159 | acc 1.000/0.009 | pre
Ep  10900 | loss 0.0000/19.6055 | acc 1.000/0.009 | pre
Ep  11000 | loss 0.0000/19.5973 | acc 1.000/0.010 | pre
Ep  11100 | loss 0.0000/19.5884 | acc 1.000/0.010 | pre
Ep  11200 | loss 0.0000/19.5790 | acc 1.000/0.009 | pre
Ep  11300 | loss 0.0000/19.5692 | acc 1.000/0.009 | pre
Ep  11400 | loss 0.0000/19.5596 | acc 1.000/0.009 | pre
Ep  11500 | loss 0.0000/19.5507 | acc 1.000/0.009 | pre
Ep  11600 | loss 0.0000/19.5432 | acc 1.000/0.009 | pre
Ep  11700 | loss 0.0000/19.5358 | acc 1.000/0.009 | pre
Ep  11800 | loss 0.0000/19.5298 | acc 1.000/0.009 | pre
Ep  11900 | loss 0.0000/19.5234 | acc 1.000/0.009 | pre
Ep  12000 | loss 0.0000/19.5163 | acc 1.000/0.009 | pre
Ep  12100 | loss 0.0000/19.5077 | acc 1.000/0.008 | pre
Ep  12200 | loss 0.0000/19.5006 | acc 1.000/0.008 | pre
Ep  12300 | loss 0.0000/19.4932 | acc 1.000/0.008 | pre
Ep  12400 | loss 0.0000/19.4865 | acc 1.000/0.008 | pre
Ep  12500 | loss 0.0000/19.4803 | acc 1.000/0.008 | pre
Ep  12600 | loss 0.0000/19.4735 | acc 1.000/0.008 | pre
Ep  12700 | loss 0.0000/19.4664 | acc 1.000/0.008 | pre
Ep  12800 | loss 0.0000/19.4597 | acc 1.000/0.008 | pre
Ep  12900 | loss 0.0000/19.4527 | acc 1.000/0.008 | pre
Ep  13000 | loss 0.0000/19.4463 | acc 1.000/0.008 | pre
Ep  13100 | loss 0.0000/19.4393 | acc 1.000/0.008 | pre
Ep  13200 | loss 0.0000/19.4338 | acc 1.000/0.008 | pre
Ep  13300 | loss 0.0000/19.4285 | acc 1.000/0.008 | pre
Ep  13400 | loss 0.0000/19.4241 | acc 1.000/0.008 | pre
Ep  13500 | loss 0.0000/19.4193 | acc 1.000/0.008 | pre
Ep  13600 | loss 0.0000/19.4127 | acc 1.000/0.008 | pre
Ep  13700 | loss 0.0000/19.4063 | acc 1.000/0.008 | pre
Ep  13800 | loss 0.0000/19.3990 | acc 1.000/0.008 | pre
Ep  13900 | loss 0.0000/19.3921 | acc 1.000/0.008 | pre
Ep  14000 | loss 0.0000/19.3866 | acc 1.000/0.007 | pre
Ep  14100 | loss 0.0000/19.3804 | acc 1.000/0.007 | pre
Ep  14200 | loss 0.0000/19.3739 | acc 1.000/0.007 | pre
Ep  14300 | loss 0.0000/19.3678 | acc 1.000/0.007 | pre
Ep  14400 | loss 0.0000/19.3628 | acc 1.000/0.007 | pre
Ep  14500 | loss 0.0000/19.3585 | acc 1.000/0.008 | pre
Ep  14600 | loss 0.0000/19.3538 | acc 1.000/0.008 | pre
Ep  14700 | loss 0.0000/19.3483 | acc 1.000/0.008 | pre
Ep  14800 | loss 0.0000/19.3439 | acc 1.000/0.008 | pre
Ep  14900 | loss 0.0000/19.3413 | acc 1.000/0.008 | pre
Ep  15000 | loss 0.0000/19.3371 | acc 1.000/0.008 | pre
Ep  15100 | loss 0.0000/19.3322 | acc 1.000/0.008 | pre
Ep  15200 | loss 0.0000/19.3266 | acc 1.000/0.008 | pre
Ep  15300 | loss 0.0000/19.3212 | acc 1.000/0.008 | pre
Ep  15400 | loss 0.0000/19.3155 | acc 1.000/0.008 | pre
Ep  15500 | loss 0.0000/19.3082 | acc 1.000/0.008 | pre
Ep  15600 | loss 0.0000/19.3013 | acc 1.000/0.008 | pre
Ep  15700 | loss 0.0000/19.2969 | acc 1.000/0.008 | pre
Ep  15800 | loss 0.0000/19.2922 | acc 1.000/0.008 | pre
Ep  15900 | loss 0.0000/19.2866 | acc 1.000/0.008 | pre
Ep  16000 | loss 0.0000/19.2813 | acc 1.000/0.008 | pre
Ep  16100 | loss 0.0000/19.2750 | acc 1.000/0.008 | pre
Ep  16200 | loss 0.0000/19.2691 | acc 1.000/0.008 | pre
Ep  16300 | loss 0.0000/19.2637 | acc 1.000/0.008 | pre
Ep  16400 | loss 0.0000/19.2589 | acc 1.000/0.008 | pre
