C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: add mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.8984/4.9096 | acc 0.007/0.010 | pre
Ep    100 | loss 1.6751/8.3634 | acc 0.603/0.101 | pre
Ep    200 | loss 0.0882/16.9659 | acc 0.966/0.252 | pre
Ep    300 | loss 0.0551/16.8124 | acc 0.978/0.252 | pre
Ep    400 | loss 0.0223/16.9355 | acc 0.992/0.257 | pre
Ep    500 | loss 0.0107/17.5510 | acc 0.996/0.261 | pre
Ep    600 | loss 0.0043/18.1207 | acc 0.998/0.265 | pre
Ep    700 | loss 0.0025/18.6833 | acc 0.999/0.266 | transition
Ep    800 | loss 0.0022/17.6224 | acc 0.999/0.266 | pre
Ep    900 | loss 0.0008/17.9173 | acc 1.000/0.270 | pre
Ep   1000 | loss 0.0003/19.1891 | acc 1.000/0.272 | pre
Ep   1100 | loss 0.0001/20.6077 | acc 1.000/0.272 | pre
Ep   1200 | loss 0.0000/22.0058 | acc 1.000/0.272 | pre
Ep   1300 | loss 0.0000/23.3722 | acc 1.000/0.272 | pre
Ep   1400 | loss 0.0000/24.6579 | acc 1.000/0.272 | pre
Ep   1500 | loss 0.0000/25.7923 | acc 1.000/0.272 | pre
Ep   1600 | loss 0.0000/26.6661 | acc 1.000/0.272 | pre
Ep   1700 | loss 0.0000/27.1509 | acc 1.000/0.272 | pre
Ep   1800 | loss 0.0000/27.2180 | acc 1.000/0.272 | pre
Ep   1900 | loss 0.0000/27.0115 | acc 1.000/0.273 | pre
Ep   2000 | loss 0.0000/26.7373 | acc 1.000/0.273 | pre
Ep   2100 | loss 0.0000/26.5053 | acc 1.000/0.273 | pre
Ep   2200 | loss 0.0000/26.3118 | acc 1.000/0.273 | pre
Ep   2300 | loss 0.0000/26.1862 | acc 1.000/0.273 | pre
Ep   2400 | loss 0.0000/26.1900 | acc 1.000/0.273 | pre
Ep   2500 | loss 0.0000/26.4083 | acc 1.000/0.272 | pre
Ep   2600 | loss 0.0000/26.5657 | acc 1.000/0.271 | pre
Ep   2700 | loss 0.0000/26.3510 | acc 1.000/0.271 | pre
Ep   2800 | loss 0.0000/25.8901 | acc 1.000/0.271 | pre
Ep   2900 | loss 0.0007/19.7520 | acc 1.000/0.261 | pre
Ep   3000 | loss 0.0063/12.1346 | acc 1.000/0.271 | pre
Ep   3100 | loss 0.0080/11.4988 | acc 1.000/0.272 | pre
Ep   3200 | loss 0.0031/12.8168 | acc 1.000/0.273 | pre
Ep   3300 | loss 0.0012/14.2383 | acc 1.000/0.272 | pre
Ep   3400 | loss 0.0004/15.6909 | acc 1.000/0.272 | pre
Ep   3500 | loss 0.0002/17.1513 | acc 1.000/0.273 | pre
Ep   3600 | loss 0.0001/18.6080 | acc 1.000/0.273 | pre
Ep   3700 | loss 0.0000/20.0393 | acc 1.000/0.273 | pre
Ep   3800 | loss 0.0000/21.4086 | acc 1.000/0.273 | pre
Ep   3900 | loss 0.0000/22.6595 | acc 1.000/0.273 | pre
Ep   4000 | loss 0.0000/23.7024 | acc 1.000/0.273 | pre
Ep   4100 | loss 0.0000/24.4157 | acc 1.000/0.274 | pre
Ep   4200 | loss 0.0000/24.7423 | acc 1.000/0.273 | pre
Ep   4300 | loss 0.0000/24.7952 | acc 1.000/0.273 | pre
Ep   4400 | loss 0.0000/24.7536 | acc 1.000/0.272 | pre
Ep   4500 | loss 0.0000/24.6856 | acc 1.000/0.272 | pre
Ep   4600 | loss 0.0000/24.4645 | acc 1.000/0.271 | pre
Ep   4700 | loss 0.0000/24.2349 | acc 1.000/0.271 | pre
Ep   4800 | loss 0.0000/24.0358 | acc 1.000/0.271 | pre
Ep   4900 | loss 0.0000/23.9467 | acc 1.000/0.270 | pre
Ep   5000 | loss 0.0000/23.8640 | acc 1.000/0.271 | pre
Ep   5100 | loss 0.0000/23.7463 | acc 1.000/0.270 | pre
Ep   5200 | loss 0.0000/23.6517 | acc 1.000/0.270 | pre
Ep   5300 | loss 0.0005/17.5562 | acc 1.000/0.265 | pre
Ep   5400 | loss 0.0062/11.0211 | acc 1.000/0.270 | pre
Ep   5500 | loss 0.0059/11.0083 | acc 1.000/0.269 | pre
Ep   5600 | loss 0.0023/12.3157 | acc 1.000/0.270 | pre
Ep   5700 | loss 0.0008/13.6978 | acc 1.000/0.270 | pre
Ep   5800 | loss 0.0003/15.1031 | acc 1.000/0.270 | pre
Ep   5900 | loss 0.0001/16.5129 | acc 1.000/0.270 | pre
Ep   6000 | loss 0.0000/17.9075 | acc 1.000/0.269 | pre
Ep   6100 | loss 0.0000/19.2668 | acc 1.000/0.269 | pre
Ep   6200 | loss 0.0000/20.5549 | acc 1.000/0.269 | pre
Ep   6300 | loss 0.0000/21.7158 | acc 1.000/0.268 | pre
Ep   6400 | loss 0.0000/22.6460 | acc 1.000/0.269 | pre
Ep   6500 | loss 0.0000/23.2319 | acc 1.000/0.269 | pre
Ep   6600 | loss 0.0000/23.4341 | acc 1.000/0.269 | pre
Ep   6700 | loss 0.0000/23.3552 | acc 1.000/0.269 | pre
Ep   6800 | loss 0.0000/23.1325 | acc 1.000/0.268 | pre
Ep   6900 | loss 0.0000/22.8646 | acc 1.000/0.268 | pre
Ep   7000 | loss 0.0000/22.6711 | acc 1.000/0.267 | pre
Ep   7100 | loss 0.1090/23.8535 | acc 0.967/0.213 | pre
