metric,corr_with_test_acc,frac_change_before_grok
fourier_mean_top_freq_mlp,-0.9404,0.7532
eff_rank_unembed_weight,-0.9205,0.8756
fourier_mean_frac_explained_mlp,0.9128,0.5974
condition_number_W_out_weight,0.9101,1.1851
eff_rank_W_out_weight,-0.9098,0.9451
condition_number_unembed_weight,0.9042,0.7141
condition_number_W_in_weight,0.9012,1.1927
condition_number_embed_weight,0.892,0.928
sparsity_mlp,-0.8803,1.0499
eff_rank_W_O_weight,-0.8731,0.8725
sign_stability_unembed_weight,-0.8714,0.9617
eff_rank_embed_weight,-0.8688,0.8509
eff_rank_W_V_weight,-0.8686,0.9209
eff_rank_W_in_weight,-0.8637,0.9994
sign_stability_embed_weight,-0.8622,0.8721
weight_dist_init_W_out_bias,0.8156,1.0812
sign_stability_W_in_weight,-0.788,0.9767
sign_stability_W_O_weight,-0.7671,0.9457
sharpness,-0.767,1.0768
l2_W_K_weight,-0.7593,0.63
sign_stability_pos_embed,-0.7415,1.0
weight_dist_init_embed_weight,0.7341,0.9686
total_weight_sq,-0.7322,0.9454
eff_rank_W_Q_weight,-0.7254,0.9766
l2_embed_weight,-0.7193,0.9732
test_loss,-0.7121,0.9757
sign_stability_W_in_bias,-0.7118,0.9878
l2_W_in_bias,-0.7088,1.0075
eff_rank_W_K_weight,-0.7078,0.9974
sign_stability_W_V_weight,-0.7072,0.9774
sign_stability_W_out_bias,-0.7045,0.9385
sign_stability_W_out_weight,-0.7012,0.9896
sign_stability_W_K_weight,-0.6964,0.9896
test_entropy,-0.6489,0.993
test_confidence,0.6335,1.5656
weight_dist_init_pos_embed,0.6036,1.2728
eff_rank_pos_embed,-0.5739,1.047
weight_dist_init_W_in_bias,0.5723,0.9952
grad_norm_W_V_weight,-0.5702,1.0016
grad_norm_W_O_weight,-0.5588,1.0017
l2_W_Q_weight,-0.5545,14.6322
grad_norm_W_Q_weight,-0.5533,1.0022
grad_norm_embed_weight,-0.5498,1.0053
grad_norm_pos_embed,-0.5493,1.0023
weight_dist_init_W_K_weight,0.5431,1.0665
train_loss,-0.5418,1.0001
sign_stability_W_Q_weight,-0.5381,1.0
grad_norm_W_in_weight,-0.5323,1.0014
weight_dist_init_W_V_weight,0.517,1.1361
grad_norm_W_in_bias,-0.4947,1.0007
weight_dist_init_W_O_weight,0.4885,1.1849
grad_norm_W_out_weight,-0.4822,1.0008
grad_norm_W_K_weight,-0.4795,1.0075
grad_norm_unembed_weight,-0.4501,1.0005
l2_pos_embed,0.4401,2.9167
update_weight_ratio_W_out_bias,-0.4356,1.1983
grad_norm_W_out_bias,-0.4265,1.0001
cka_vs_prev,0.4259,0.996
dead_frac_mlp,-0.4175,1.0
update_weight_ratio_W_out_weight,-0.4155,1.1314
l2_W_V_weight,0.406,1.258
update_weight_ratio_W_V_weight,-0.3934,1.2635
condition_number_W_O_weight,0.3821,3.8126
update_weight_ratio_W_O_weight,-0.3815,1.2253
update_weight_ratio_unembed_weight,-0.3773,1.1357
update_weight_ratio_W_in_weight,-0.3771,1.6695
update_weight_ratio_pos_embed,-0.369,0.6492
logit_fourier_frac,0.3551,0.7518
l2_W_O_weight,0.3546,1.337
l2_W_in_weight,-0.3505,2.5333
weight_dist_init_W_in_weight,0.3325,1.1397
idim_mlp,-0.3254,0.1923
condition_number_W_Q_weight,0.3237,0.1171
update_weight_ratio_W_K_weight,-0.3069,1.8369
condition_number_pos_embed,0.2963,1.105
margin,0.2778,2.2021
update_weight_ratio_W_Q_weight,-0.2703,1.1893
condition_number_W_K_weight,0.2701,-1.6766
weight_dist_init_unembed_weight,0.2635,1.3866
logit_fourier_entropy,-0.2596,0.1087
grad_alignment,0.2145,0.49
condition_number_W_V_weight,0.2081,1.8764
weight_dist_init_W_Q_weight,-0.1572,0.8811
l2_W_out_weight,-0.1132,1.5677
weight_dist_init_W_out_weight,0.1001,1.277
update_weight_ratio_embed_weight,0.0903,0.6429
l2_unembed_weight,0.0815,1.7446
fourier_mean_entropy_mlp,-0.063,35.5745
group_assoc_frac,0.0463,14.6242
l2_W_out_bias,-0.0324,0.6303
update_weight_ratio_W_in_bias,-0.0227,0.2275
group_has_identity,,
