C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: multiply mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.8986/4.9037 | acc 0.006/0.010 | pre
Ep    100 | loss 1.9146/7.7246 | acc 0.533/0.099 | pre
Ep    200 | loss 0.1054/17.1087 | acc 0.961/0.261 | pre
Ep    300 | loss 0.0472/17.3571 | acc 0.982/0.265 | pre
Ep    400 | loss 0.0213/17.3276 | acc 0.994/0.265 | pre
Ep    500 | loss 0.0066/17.8184 | acc 0.998/0.269 | pre
Ep    600 | loss 0.0032/18.2352 | acc 0.999/0.271 | pre
Ep    700 | loss 0.0023/18.9028 | acc 0.999/0.274 | transition
Ep    800 | loss 0.0019/17.9669 | acc 0.999/0.273 | pre
Ep    900 | loss 0.0007/18.0261 | acc 1.000/0.276 | pre
Ep   1000 | loss 0.0003/19.2636 | acc 1.000/0.277 | pre
Ep   1100 | loss 0.0001/20.6299 | acc 1.000/0.278 | pre
Ep   1200 | loss 0.0000/21.9847 | acc 1.000/0.278 | pre
Ep   1300 | loss 0.0000/23.3102 | acc 1.000/0.278 | pre
Ep   1400 | loss 0.0000/24.5569 | acc 1.000/0.278 | pre
Ep   1500 | loss 0.0000/25.6481 | acc 1.000/0.278 | pre
Ep   1600 | loss 0.0000/26.4860 | acc 1.000/0.278 | pre
Ep   1700 | loss 0.0000/26.9308 | acc 1.000/0.278 | pre
Ep   1800 | loss 0.0000/26.9984 | acc 1.000/0.277 | pre
Ep   1900 | loss 0.0000/26.8225 | acc 1.000/0.277 | pre
Ep   2000 | loss 0.0000/26.6221 | acc 1.000/0.277 | pre
Ep   2100 | loss 0.0000/26.4472 | acc 1.000/0.277 | pre
Ep   2200 | loss 0.0000/26.2973 | acc 1.000/0.277 | pre
Ep   2300 | loss 0.0000/26.1748 | acc 1.000/0.276 | pre
Ep   2400 | loss 0.0000/26.0763 | acc 1.000/0.276 | pre
Ep   2500 | loss 0.0000/26.0330 | acc 1.000/0.276 | pre
Ep   2600 | loss 0.0000/26.0510 | acc 1.000/0.275 | pre
Ep   2700 | loss 0.0000/26.1278 | acc 1.000/0.274 | pre
Ep   2800 | loss 0.0000/26.1379 | acc 1.000/0.272 | pre
Ep   2900 | loss 0.0000/25.9884 | acc 1.000/0.272 | pre
Ep   3000 | loss 0.0000/25.7629 | acc 1.000/0.273 | pre
Ep   3100 | loss 0.0000/25.6422 | acc 1.000/0.272 | pre
Ep   3200 | loss 0.0000/25.5243 | acc 1.000/0.272 | pre
Ep   3300 | loss 0.0000/25.4082 | acc 1.000/0.272 | pre
Ep   3400 | loss 0.0000/25.1837 | acc 1.000/0.272 | pre
Ep   3500 | loss 0.0000/25.2351 | acc 1.000/0.271 | pre
Ep   3600 | loss 0.0000/25.1629 | acc 1.000/0.271 | pre
Ep   3700 | loss 0.0000/25.0519 | acc 1.000/0.270 | pre
Ep   3800 | loss 0.0000/24.9920 | acc 1.000/0.269 | pre
Ep   3900 | loss 0.0004/19.1141 | acc 1.000/0.261 | pre
Ep   4000 | loss 0.0047/12.0947 | acc 1.000/0.269 | pre
Ep   4100 | loss 0.0041/12.1924 | acc 1.000/0.271 | pre
Ep   4200 | loss 0.0016/13.6017 | acc 1.000/0.270 | pre
Ep   4300 | loss 0.0006/15.0766 | acc 1.000/0.268 | pre
Ep   4400 | loss 0.0002/16.5762 | acc 1.000/0.268 | pre
Ep   4500 | loss 0.0001/18.0738 | acc 1.000/0.268 | pre
Ep   4600 | loss 0.0000/19.5569 | acc 1.000/0.268 | pre
Ep   4700 | loss 0.0000/20.9979 | acc 1.000/0.268 | pre
Ep   4800 | loss 0.0000/22.3460 | acc 1.000/0.268 | pre
Ep   4900 | loss 0.0000/23.5084 | acc 1.000/0.268 | pre
Ep   5000 | loss 0.0000/24.3505 | acc 1.000/0.268 | pre
Ep   5100 | loss 0.0000/24.7802 | acc 1.000/0.267 | pre
Ep   5200 | loss 0.0000/24.8611 | acc 1.000/0.267 | pre
Ep   5300 | loss 0.0000/24.8147 | acc 1.000/0.266 | pre
Ep   5400 | loss 0.0000/24.6782 | acc 1.000/0.265 | pre
Ep   5500 | loss 0.0000/24.1512 | acc 1.000/0.265 | pre
Ep   5600 | loss 0.0000/24.2747 | acc 1.000/0.264 | pre
Ep   5700 | loss 0.1028/26.0561 | acc 0.967/0.203 | pre
Ep   5800 | loss 0.0018/13.8857 | acc 1.000/0.262 | pre
Ep   5900 | loss 0.0113/10.3670 | acc 1.000/0.265 | pre
Ep   6000 | loss 0.0054/11.3839 | acc 1.000/0.266 | pre
Ep   6100 | loss 0.0021/12.7425 | acc 1.000/0.265 | pre
Ep   6200 | loss 0.0008/14.1533 | acc 1.000/0.265 | pre
Ep   6300 | loss 0.0003/15.5874 | acc 1.000/0.266 | transition
Ep   6400 | loss 0.0001/17.0297 | acc 1.000/0.265 | pre
Ep   6500 | loss 0.0000/18.4644 | acc 1.000/0.265 | pre
Ep   6600 | loss 0.0000/19.8635 | acc 1.000/0.266 | pre
Ep   6700 | loss 0.0000/21.1872 | acc 1.000/0.266 | pre
Ep   6800 | loss 0.0000/22.3718 | acc 1.000/0.265 | pre
Ep   6900 | loss 0.0000/23.3148 | acc 1.000/0.265 | pre
Ep   7000 | loss 0.0000/23.9046 | acc 1.000/0.265 | pre
Ep   7100 | loss 0.0000/24.1393 | acc 1.000/0.265 | pre
Ep   7200 | loss 0.0000/24.1340 | acc 1.000/0.263 | pre
Ep   7300 | loss 0.0000/23.9301 | acc 1.000/0.260 | pre
Ep   7400 | loss 0.0010/14.6896 | acc 1.000/0.258 | pre
Ep   7500 | loss 0.0077/10.5870 | acc 1.000/0.264 | pre
Ep   7600 | loss 0.0037/11.5071 | acc 1.000/0.264 | pre
Ep   7700 | loss 0.0014/12.8254 | acc 1.000/0.263 | pre
Ep   7800 | loss 0.0005/14.2042 | acc 1.000/0.263 | pre
Ep   7900 | loss 0.0002/15.6018 | acc 1.000/0.264 | pre
Ep   8000 | loss 0.0001/17.0043 | acc 1.000/0.263 | pre
Ep   8100 | loss 0.0000/18.3940 | acc 1.000/0.263 | pre
Ep   8200 | loss 0.0000/19.7380 | acc 1.000/0.262 | pre
Ep   8300 | loss 0.0000/20.9933 | acc 1.000/0.262 | pre
Ep   8400 | loss 0.0000/22.0880 | acc 1.000/0.261 | pre
Ep   8500 | loss 0.0000/22.9071 | acc 1.000/0.261 | pre
Ep   8600 | loss 0.0000/23.3574 | acc 1.000/0.260 | pre
Ep   8700 | loss 0.0000/23.4437 | acc 1.000/0.260 | pre
Ep   8800 | loss 0.0000/23.3207 | acc 1.000/0.259 | pre
Ep   8900 | loss 0.0000/22.8778 | acc 1.000/0.259 | pre
Ep   9000 | loss 0.0000/22.8299 | acc 1.000/0.259 | pre
Ep   9100 | loss 0.0013/13.8300 | acc 1.000/0.254 | pre
Ep   9200 | loss 0.0146/9.4595 | acc 1.000/0.262 | pre
Ep   9300 | loss 0.0092/10.0056 | acc 1.000/0.262 | pre
Ep   9400 | loss 0.0035/11.1752 | acc 1.000/0.262 | pre
Ep   9500 | loss 0.0013/12.4170 | acc 1.000/0.263 | pre
Ep   9600 | loss 0.0005/13.6966 | acc 1.000/0.263 | pre
Ep   9700 | loss 0.0002/14.9914 | acc 1.000/0.263 | pre
Ep   9800 | loss 0.0001/16.2834 | acc 1.000/0.263 | pre
Ep   9900 | loss 0.0000/17.5598 | acc 1.000/0.263 | pre
Ep  10000 | loss 0.0000/18.7871 | acc 1.000/0.263 | pre
Ep  10100 | loss 0.0000/19.9264 | acc 1.000/0.263 | pre
Ep  10200 | loss 0.0000/20.9141 | acc 1.000/0.262 | pre
