epoch,grad_norm_pos_embed,grad_norm_embed_weight,grad_norm_W_Q_weight,grad_norm_W_K_weight,grad_norm_W_V_weight,grad_norm_W_O_weight,grad_norm_W_in_weight,grad_norm_W_in_bias,grad_norm_W_out_weight,grad_norm_W_out_bias,grad_norm_unembed_weight,train_loss,test_loss,train_acc,test_acc,acc_gap,grokking_score,l2_pos_embed,eff_rank_pos_embed,condition_number_pos_embed,weight_dist_init_pos_embed,sign_stability_pos_embed,update_weight_ratio_pos_embed,l2_embed_weight,eff_rank_embed_weight,condition_number_embed_weight,weight_dist_init_embed_weight,sign_stability_embed_weight,update_weight_ratio_embed_weight,l2_W_Q_weight,eff_rank_W_Q_weight,condition_number_W_Q_weight,weight_dist_init_W_Q_weight,sign_stability_W_Q_weight,update_weight_ratio_W_Q_weight,l2_W_K_weight,eff_rank_W_K_weight,condition_number_W_K_weight,weight_dist_init_W_K_weight,sign_stability_W_K_weight,update_weight_ratio_W_K_weight,l2_W_V_weight,eff_rank_W_V_weight,condition_number_W_V_weight,weight_dist_init_W_V_weight,sign_stability_W_V_weight,update_weight_ratio_W_V_weight,l2_W_O_weight,eff_rank_W_O_weight,condition_number_W_O_weight,weight_dist_init_W_O_weight,sign_stability_W_O_weight,update_weight_ratio_W_O_weight,l2_W_in_weight,eff_rank_W_in_weight,condition_number_W_in_weight,weight_dist_init_W_in_weight,sign_stability_W_in_weight,update_weight_ratio_W_in_weight,l2_W_in_bias,weight_dist_init_W_in_bias,sign_stability_W_in_bias,update_weight_ratio_W_in_bias,l2_W_out_weight,eff_rank_W_out_weight,condition_number_W_out_weight,weight_dist_init_W_out_weight,sign_stability_W_out_weight,update_weight_ratio_W_out_weight,l2_W_out_bias,weight_dist_init_W_out_bias,sign_stability_W_out_bias,update_weight_ratio_W_out_bias,l2_unembed_weight,eff_rank_unembed_weight,condition_number_unembed_weight,weight_dist_init_unembed_weight,sign_stability_unembed_weight,update_weight_ratio_unembed_weight,total_weight_sq,dead_frac_mlp,sparsity_mlp,margin,test_entropy,test_confidence,sharpness,fourier_mean_top_freq_mlp,fourier_mean_frac_explained_mlp,fourier_mean_entropy_mlp,fourier_key_freqs_mlp,logit_fourier_frac,logit_fourier_entropy,idim_mlp,group_assoc_frac,group_has_identity,phase,grad_alignment,cka_vs_prev
0,0.05167121812701225,0.05121380463242531,0.02398543618619442,0.024373576045036316,0.12985768914222717,0.11877068877220154,0.2073216587305069,0.0170371625572443,0.4277289807796478,0.046937111765146255,0.7478170990943909,4.9705328941345215,4.990532398223877,0.008611110970377922,0.008194444701075554,0.00041666626930236816,0.9516129485805382,1.7075272806202835,2.9956135749816895,1.1374701261520386,0.0019740895368158817,1.0,0.00115611010149418,125.74840021348184,99.96214294433594,41.364540100097656,0.017984701320528984,0.9999999403953552,0.0001430213158282179,6.5235012393966905,103.32361602783203,368.4071044921875,0.012781117111444473,0.99945068359375,0.001959241875678964,6.547742253585183,102.81465148925781,382.97747802734375,0.012785694561898708,0.99945068359375,0.0019526874830546102,6.526537203311641,103.10317993164062,260.960205078125,0.012833720073103905,0.999267578125,0.0019663903308039274,6.526381142552976,102.98167419433594,415.1092529296875,0.012828984297811985,0.99945068359375,0.001965711818969471,13.082772471723072,123.5516128540039,2.8904106616973877,0.020817061886191368,0.9996185302734375,0.001591181248173514,1.1330987502864416,0.0018314693588763475,1.0,0.001616336974103223,6.530828288942256,123.62728118896484,2.8918237686157227,0.020703736692667007,0.9991455078125,0.003170154716036781,0.2590538541595834,0.0011337717296555638,1.0,0.004376586963705672,6.336426966489881,99.3678207397461,50.434120178222656,0.01244761236011982,0.9997396469116211,0.001964452976551065,16241.506123453379,0.33984375,0.5154201984405518,0.0026865005493164062,4.605389595031738,0.3576568067073822,0.21875043213367462,19.18359375,0.04300446045331061,3.754880413413048,"[0, 22, 26]",0.8420238064946107,1.0966543244508407,39.0,1.0,0.0,pre,,
100,0.0132671520113945,0.012449106201529503,0.0040293000638484955,0.03267773613333702,0.06638031452894211,0.054452523589134216,0.05494324117898941,0.002811617450788617,0.052420321851968765,0.0019602812826633453,0.07357437163591385,3.3358237743377686,6.874833106994629,0.19291667640209198,0.0040277778171002865,0.1888888985849917,0.020878328883840388,1.6793994745331606,2.9913763999938965,1.2034680843353271,0.6740792989730835,0.8567708730697632,0.007120506154818516,117.07205980719738,100.39143371582031,46.396644592285156,11.756258964538574,0.9766916036605835,0.001132803587717171,9.923962855499017,84.00579833984375,27848.609375,7.732692241668701,0.657470703125,0.00842547397883477,8.044811628660113,90.8515396118164,1371.938232421875,5.006927967071533,0.81201171875,0.004856863588832372,10.220389418377426,99.79212951660156,3536.25732421875,6.951537609100342,0.76873779296875,0.011056569884541687,10.662988584891359,100.6102066040039,2185.247802734375,6.863673210144043,0.793212890625,0.010439611190601446,16.161628698479,119.49051666259766,4.628637313842773,8.506237983703613,0.8663177490234375,0.013308775092501807,1.0693522134178022,0.25434064865112305,0.9453125,0.007071703201548831,12.734165906067117,114.17909240722656,6.296978950500488,10.460923194885254,0.7430877685546875,0.01870645533564981,0.2511381972117318,0.0814410075545311,0.921875,0.005437871026071581,8.538293634615641,99.28091430664062,55.73784255981445,4.37999153137207,0.8666015863418579,0.010500794771055673,14587.513554669917,0.021484375,0.5198169350624084,5.650520324707031e-05,3.7337779998779297,0.4330679774284363,,,,,,,,,,,pre,0.011120423674583435,0.35507702827453613
200,0.054013531655073166,0.029393069446086884,0.005612102337181568,0.11557964235544205,0.04344500973820686,0.04040777310729027,0.06123104318976402,0.0031642762478441,0.08850066363811493,0.0020147727336734533,0.04387980327010155,0.4101034104824066,17.768131256103516,0.9118055701255798,0.017500000074505806,0.894305570051074,0.01919268827464565,1.8515339136934892,2.9454827308654785,1.5999232530593872,1.095178484916687,0.7630208730697632,0.003494871498890791,109.3008900709985,100.904052734375,42.80026626586914,19.933570861816406,0.9679105877876282,0.0008623846092900491,12.723715223045053,70.37640380859375,123065.6484375,11.346028327941895,0.55657958984375,0.0009753318588972972,7.824199247978691,87.71492004394531,1799.138916015625,5.338450908660889,0.787353515625,0.0013430266388422245,15.80336379930067,97.1927719116211,551.816162109375,12.733964920043945,0.71368408203125,0.002664625630799731,16.734126070452465,102.2756118774414,2685.28076171875,12.76773738861084,0.76727294921875,0.0023930432318295743,23.819083838023925,113.3499755859375,7.19568395614624,17.55150032043457,0.7669219970703125,0.0034149879339745327,1.1963748075935257,0.6860708594322205,0.830078125,0.0023830999090616416,21.217403768044996,110.14404296875,8.059327125549316,19.385101318359375,0.66448974609375,0.0031110114207710694,0.23845244339578742,0.08964593708515167,0.9375,0.0016279504919785458,14.154626614285654,99.84971618652344,48.60123825073242,9.773895263671875,0.8246093988418579,0.0030763521372199356,13922.369658187032,0.0,0.5296517014503479,0.000370025634765625,1.1861097812652588,1.873091459274292,,,,,,,,,,,pre,0.1508960872888565,0.9063428044319153
300,0.02878507785499096,0.016243891790509224,0.002396554220467806,0.05743282660841942,0.03272717818617821,0.03307334706187248,0.05431937798857689,0.0027336119674146175,0.08402414619922638,0.0017397910123690963,0.026496220380067825,0.19998392462730408,21.426288604736328,0.9375,0.014444444328546524,0.9230555556714535,0.015407407283782959,1.9885394635062572,2.881249189376831,2.0023996829986572,1.3281562328338623,0.734375,0.0007355338813759518,100.28078743271315,100.93206024169922,42.269447326660156,28.11537742614746,0.96455317735672,0.0008983060118034437,12.526236503920419,66.94837188720703,353682.46875,11.418585777282715,0.5460205078125,0.0008274684970466803,7.164397153869204,87.17315673828125,3012.4228515625,5.066435813903809,0.7833251953125,0.001525795783754292,17.048792212880322,95.60858917236328,599.24658203125,14.049139022827148,0.70819091796875,0.0009799625872366176,17.908976668489466,102.04898834228516,2414.3955078125,13.963102340698242,0.76275634765625,0.0008341912903928894,24.869461439779663,111.7519302368164,8.318706512451172,19.04097557067871,0.754119873046875,0.0015235781863075937,1.1739973051049986,0.7840564846992493,0.802734375,0.0011832056283516902,22.012706208441084,109.03620147705078,8.811594009399414,20.318077087402344,0.6571807861328125,0.001460700995323368,0.2178240918149418,0.09743646532297134,0.921875,0.0019478879586944853,15.763817917061388,99.6071548461914,54.737579345703125,11.386150360107422,0.8172526359558105,0.001377841624922767,12232.79158533737,0.0,0.5308515429496765,0.0012636184692382812,0.9155261516571045,2.265345573425293,,,,,,,,,,,pre,0.08178507536649704,0.9840511679649353
400,0.02283213473856449,0.016979875043034554,0.00203197100199759,0.049077101051807404,0.0520317405462265,0.05815078690648079,0.10623324662446976,0.005919188726693392,0.17065651714801788,0.003754769219085574,0.04158685356378555,0.13718372583389282,21.6501407623291,0.956527829170227,0.011944444850087166,0.9445833843201399,0.012487294656600619,1.9574639304627046,2.8536150455474854,2.1849212646484375,1.3880287408828735,0.7109375,0.0008989449695243379,91.95860354325201,100.91887664794922,42.440086364746094,36.016300201416016,0.9610666036605835,0.0008853295809439951,11.871650303669545,65.04946899414062,2678401.0,10.985870361328125,0.54254150390625,0.0008363835024169511,6.530583543860368,86.828369140625,2967.72509765625,4.84408712387085,0.78009033203125,0.0014685245699064796,17.487129055885287,94.52458953857422,312.9114685058594,14.564008712768555,0.70404052734375,0.001182458521172755,18.15245596923027,101.83258056640625,375.3916320800781,14.246272087097168,0.76153564453125,0.001014308436859542,24.867308994755042,110.69546508789062,9.073793411254883,19.413372039794922,0.745574951171875,0.001845101764837357,1.1226947796394509,0.8237680196762085,0.796875,0.001998997642680184,22.03049644101331,108.11115264892578,9.61117172241211,20.456649780273438,0.65216064453125,0.0017266052308051937,0.19825308633544994,0.10793360322713852,0.921875,0.00452194595017535,16.95897976379789,99.36251831054688,45.242889404296875,12.602612495422363,0.8121744990348816,0.0017802744292863659,10671.744945913553,0.0,0.5313124060630798,0.0016088485717773438,0.8704743385314941,2.3112103939056396,,,,,,,,,,,pre,-0.09972716122865677,0.9899590611457825
500,0.020626487210392952,0.008017699234187603,0.0011378088966012,0.02667948231101036,0.02281775325536728,0.026688318699598312,0.048298925161361694,0.0024207637179642916,0.07527131587266922,0.0016120654763653874,0.020089898258447647,0.0784258171916008,22.224262237548828,0.9748611450195312,0.011944444850087166,0.9629167001694441,0.012252457604972922,1.9445725224713932,2.82857346534729,2.372316837310791,1.4616498947143555,0.6822916865348816,0.0008471462402474409,84.66133705645984,100.85897827148438,43.589500427246094,43.1858024597168,0.9584193825721741,0.0008520638237400726,11.501939692904791,62.240013122558594,134198.078125,10.845176696777344,0.5374755859375,0.0012867201280601771,5.967065383688442,86.38397979736328,3468.13037109375,4.720078468322754,0.7774658203125,0.0013743637558522191,17.976189017198035,93.38321685791016,281.3645324707031,15.124032020568848,0.701416015625,0.000931315390841353,18.386429534187027,101.54096984863281,387.7213439941406,14.519674301147461,0.7603759765625,0.0007783371446004392,24.833803040160806,109.73786163330078,9.81130313873291,19.725200653076172,0.736907958984375,0.0014876854853451192,1.0799910939697115,0.865504264831543,0.7734375,0.0014442391462014088,22.05054562816984,107.2125473022461,10.470880508422852,20.59282112121582,0.648284912109375,0.0013775495993542336,0.1810791196664958,0.12183234840631485,0.90625,0.0029763067334970155,18.43699184945937,99.14891815185547,38.51845932006836,14.09597396850586,0.8075520992279053,0.0015219341446292653,9444.494177877903,0.0,0.5320988297462463,3.24249267578125e-05,0.8132140040397644,2.380990743637085,,28.916015625,0.04192837879202161,7.161697302944958,"[22, 39, 14]",0.052402480006912805,7.960151759783427,142.0,0.07524999976158142,0.0,pre,0.4416459798812866,0.9895985126495361
600,0.01410177256911993,0.010204476304352283,0.0010850237449631095,0.03370847925543785,0.022172151133418083,0.02536577545106411,0.04096456244587898,0.0015844221925362945,0.05512085184454918,0.0010794780682772398,0.018562402576208115,0.04055480659008026,22.477754592895508,0.9887500405311584,0.011944444850087166,0.9768055956810713,0.012080348278590803,1.9385355981249748,2.8081085681915283,2.5421671867370605,1.534515380859375,0.6770833730697632,0.0008536543173333338,78.45994449797298,100.71705627441406,46.347164154052734,49.47038269042969,0.9547390937805176,0.0008194908388433204,11.641222064176121,57.61893081665039,211304.109375,11.212637901306152,0.533935546875,0.001001334600039724,5.487499075435482,85.68885040283203,2476.988525390625,4.69408655166626,0.77166748046875,0.0021693245861400473,18.383662459100915,92.25787353515625,492.8137512207031,15.597909927368164,0.69708251953125,0.0010027277535723498,18.51296625161926,101.25358581542969,9467.04296875,14.685312271118164,0.75970458984375,0.000828008455127334,24.643501883023724,108.94380187988281,10.550653457641602,19.84638786315918,0.7305145263671875,0.001522701805278472,1.035819535709554,0.8993687629699707,0.755859375,0.0016280919749063884,22.00263822515808,106.385009765625,11.428935050964355,20.65135383605957,0.644073486328125,0.0014662334129866548,0.16449905397482284,0.1372939497232437,0.8984375,0.003448482521494708,19.84233816335823,98.9897232055664,40.90789031982422,15.526988983154297,0.8068360090255737,0.0015511075687475368,8492.277112748474,0.0,0.5322396159172058,0.0022439956665039062,0.7792341709136963,2.4495229721069336,,,,,,,,,,,pre,0.08971285820007324,0.9911489486694336
700,0.020155608654022217,0.009149323217570782,0.0007728395285084844,0.026407161727547646,0.024166978895664215,0.02975083328783512,0.05325189232826233,0.0021748205181211233,0.07391748577356339,0.001452106749638915,0.02504267729818821,0.015569740906357765,22.924776077270508,0.9970833659172058,0.011527777649462223,0.9855555882677436,0.01156149830947982,1.9459306585027139,2.7888998985290527,2.713639259338379,1.6187678575515747,0.6692708730697632,0.000999643288818266,73.18883098170615,100.48368072509766,48.5418701171875,54.95553207397461,0.9477659463882446,0.0007728047909168148,12.093843366080167,51.956398010253906,412960.09375,11.859278678894043,0.52801513671875,0.0010435492091207977,5.074987574970839,84.74722290039062,1940.020751953125,4.729966163635254,0.765625,0.0020168768034120013,18.761194574839845,91.23123168945312,1131.8790283203125,16.034399032592773,0.6953125,0.000846290778546215,18.600108058164356,100.93701171875,695.3628540039062,14.808707237243652,0.75799560546875,0.0007670471221767942,24.408505617599268,108.21781158447266,11.234631538391113,19.897863388061523,0.7248077392578125,0.0013360746302068587,1.0002742033768657,0.9322529435157776,0.744140625,0.0020588646831338157,21.991483253599775,105.65592193603516,12.423666954040527,20.735315322875977,0.6399383544921875,0.0013928051130190442,0.15193612020706337,0.15115101635456085,0.875,0.0062081935404501255,21.38701234102136,98.82587432861328,47.16753387451172,17.09671974182129,0.8042318224906921,0.0012901634970867177,7768.18302661553,0.0,0.5320478081703186,0.043491363525390625,0.7542045712471008,2.5116474628448486,,,,,,,,,,,pre,0.1190577894449234,0.9925453662872314
800,0.006346594076603651,0.0029484776314347982,0.0002242507616756484,0.009592225775122643,0.006692145951092243,0.008092941716313362,0.01468475442379713,0.00048563911695964634,0.017480386421084404,0.00030934519600123167,0.007445634808391333,0.006782538257539272,23.286136627197266,0.9990277886390686,0.011250000447034836,0.9877777881920338,0.01126094846907133,1.9564668066034718,2.77056884765625,2.870992660522461,1.7037159204483032,0.6640625,0.00079958827408067,68.73083539703995,100.14009857177734,50.46444320678711,59.69401550292969,0.9409865140914917,0.0006956162046536354,13.093594424978205,44.78999328613281,754659.75,13.007349967956543,0.520263671875,0.0012448368734144237,4.737298144868961,83.39813995361328,10172.427734375,4.8214030265808105,0.75604248046875,0.001502810303467325,18.99025195171073,90.3485107421875,1075.4600830078125,16.31765365600586,0.6934814453125,0.0005536625145660649,18.550056987993663,100.6088638305664,1046.60888671875,14.796198844909668,0.75762939453125,0.0004791223855843646,24.108959814960393,107.57803344726562,11.76262092590332,19.865123748779297,0.7209625244140625,0.0009457158110650062,0.9649385104576527,0.9601337313652039,0.73046875,0.0011173674178910694,21.90339814041776,105.04460906982422,13.24345874786377,20.73271942138672,0.635833740234375,0.0009627996881054512,0.14143942396395234,0.16381046175956726,0.8515625,0.0023915950076297122,23.159421963503185,98.5667953491211,50.80501174926758,18.892309188842773,0.8007813096046448,0.001132466573390447,7224.6847194470465,0.0,0.5316957235336304,0.006825447082519531,0.7300785779953003,2.6007776260375977,,,,,,,,,,,pre,0.048986222594976425,0.9969054460525513
900,0.0020337423775345087,0.001398338470607996,7.621430268045515e-05,0.003254040377214551,0.003775143763050437,0.004779215436428785,0.008017110638320446,0.00029075841302983463,0.009730902500450611,0.0001894903980428353,0.00407123239710927,0.0034501219633966684,24.28638458251953,0.99958336353302,0.011666666716337204,0.9879166968166828,0.011671529501152817,1.9921348415221898,2.7483115196228027,3.033449172973633,1.8044856786727905,0.6536458730697632,0.0007909085804078369,65.05847730119419,99.65009307861328,58.13533401489258,63.73545837402344,0.9340133666992188,0.0006277224801322979,14.538769685726828,37.10452651977539,1244509.125,14.5596923828125,0.5147705078125,0.0012468589609350735,4.476658791776327,81.51719665527344,32600.259765625,4.957436561584473,0.7406005859375,0.001141548143532639,19.258596111085613,89.50812530517578,934.5776977539062,16.631553649902344,0.69073486328125,0.0005328533123495663,18.547357104622918,100.25165557861328,1301.1429443359375,14.827421188354492,0.756103515625,0.0004636316799588643,23.96595383787958,106.95989227294922,12.452775001525879,19.96283721923828,0.7154693603515625,0.0008638733394481062,0.9455206460599905,0.9951491355895996,0.720703125,0.001074704938036162,22.01382566724404,104.46064758300781,14.015619277954102,20.920671463012695,0.6316986083984375,0.0009451407975215276,0.1334977214744694,0.17587409913539886,0.8359375,0.002880214065541675,25.106460335657385,98.34587097167969,48.379539489746094,20.857433319091797,0.7996094226837158,0.0010181234449090162,6873.109993012622,0.0,0.5313926935195923,0.011223793029785156,0.6933578848838806,2.727325439453125,,,,,,,,,,,pre,-0.06306526064872742,0.9980100989341736
