C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: x2xyy2 mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.9237/4.9096 | acc 0.008/0.009 | pre
Ep    100 | loss 1.4204/7.1937 | acc 0.651/0.134 | pre
Ep    200 | loss 0.0710/14.4905 | acc 0.976/0.269 | pre
Ep    300 | loss 0.0404/14.6502 | acc 0.985/0.266 | pre
Ep    400 | loss 0.0244/15.0391 | acc 0.991/0.267 | pre
Ep    500 | loss 0.0145/14.9490 | acc 0.994/0.269 | pre
Ep    600 | loss 0.0069/15.7305 | acc 0.997/0.271 | pre
Ep    700 | loss 0.0039/16.3714 | acc 0.998/0.271 | transition
Ep    800 | loss 0.0037/15.6972 | acc 0.999/0.269 | pre
Ep    900 | loss 0.0029/15.8986 | acc 0.999/0.272 | pre
Ep   1000 | loss 0.0013/16.5338 | acc 0.999/0.272 | pre
Ep   1100 | loss 0.0007/17.5597 | acc 1.000/0.271 | pre
Ep   1200 | loss 0.0014/15.5926 | acc 1.000/0.270 | pre
Ep   1300 | loss 0.0014/14.6098 | acc 1.000/0.274 | pre
Ep   1400 | loss 0.0004/15.9451 | acc 1.000/0.274 | pre
Ep   1500 | loss 0.0001/17.3149 | acc 1.000/0.273 | pre
Ep   1600 | loss 0.0001/18.6978 | acc 1.000/0.275 | pre
Ep   1700 | loss 0.0000/20.0554 | acc 1.000/0.274 | pre
Ep   1800 | loss 0.0000/21.3595 | acc 1.000/0.274 | pre
Ep   1900 | loss 0.0000/22.5448 | acc 1.000/0.273 | pre
Ep   2000 | loss 0.0000/23.5360 | acc 1.000/0.272 | pre
Ep   2100 | loss 0.0000/24.1889 | acc 1.000/0.272 | pre
Ep   2200 | loss 0.0000/24.4238 | acc 1.000/0.271 | pre
Ep   2300 | loss 0.0000/24.3545 | acc 1.000/0.270 | pre
Ep   2400 | loss 0.0000/24.2204 | acc 1.000/0.269 | pre
Ep   2500 | loss 0.0000/24.0977 | acc 1.000/0.269 | pre
Ep   2600 | loss 0.0000/24.0034 | acc 1.000/0.270 | pre
Ep   2700 | loss 0.0000/23.9395 | acc 1.000/0.269 | pre
Ep   2800 | loss 0.0000/23.9156 | acc 1.000/0.268 | pre
Ep   2900 | loss 0.0000/23.9354 | acc 1.000/0.268 | pre
Ep   3000 | loss 0.0000/23.9839 | acc 1.000/0.267 | pre
Ep   3100 | loss 0.0000/24.0376 | acc 1.000/0.266 | pre
Ep   3200 | loss 0.0000/24.0323 | acc 1.000/0.265 | pre
Ep   3300 | loss 0.0000/23.9484 | acc 1.000/0.264 | pre
Ep   3400 | loss 0.0000/23.7650 | acc 1.000/0.264 | pre
Ep   3500 | loss 0.0000/23.7485 | acc 1.000/0.264 | pre
Ep   3600 | loss 0.0000/23.6817 | acc 1.000/0.264 | pre
Ep   3700 | loss 0.0000/23.6048 | acc 1.000/0.263 | pre
Ep   3800 | loss 0.0000/23.5768 | acc 1.000/0.263 | pre
Ep   3900 | loss 0.0000/23.5039 | acc 1.000/0.263 | pre
Ep   4000 | loss 0.0000/23.4769 | acc 1.000/0.263 | pre
Ep   4100 | loss 0.0000/23.4225 | acc 1.000/0.262 | pre
Ep   4200 | loss 0.0000/23.4020 | acc 1.000/0.261 | pre
Ep   4300 | loss 0.0000/23.3575 | acc 1.000/0.261 | pre
Ep   4400 | loss 0.0000/23.3562 | acc 1.000/0.262 | pre
Ep   4500 | loss 0.0000/23.2898 | acc 1.000/0.261 | pre
Ep   4600 | loss 0.0000/23.2258 | acc 1.000/0.261 | pre
Ep   4700 | loss 0.0000/23.2383 | acc 1.000/0.260 | pre
Ep   4800 | loss 0.0000/23.1984 | acc 1.000/0.259 | pre
Ep   4900 | loss 0.0000/23.1843 | acc 1.000/0.259 | pre
Ep   5000 | loss 0.0000/23.1271 | acc 1.000/0.258 | pre
Ep   5100 | loss 0.0000/23.0413 | acc 1.000/0.258 | pre
Ep   5200 | loss 0.0000/23.0940 | acc 1.000/0.258 | pre
Ep   5300 | loss 0.0000/23.0872 | acc 1.000/0.256 | pre
Ep   5400 | loss 0.0000/23.0500 | acc 1.000/0.256 | pre
Ep   5500 | loss 0.0000/23.0412 | acc 1.000/0.255 | pre
Ep   5600 | loss 0.0000/23.0023 | acc 1.000/0.255 | pre
Ep   5700 | loss 0.0000/22.9677 | acc 1.000/0.254 | pre
Ep   5800 | loss 0.0000/22.9658 | acc 1.000/0.253 | pre
Ep   5900 | loss 0.0000/22.8653 | acc 1.000/0.253 | pre
