C:\Projects\Programming\6700\grok\grok_impl\metrics.py:404: UserWarning: torch.linalg.svd: During SVD computation with the selected cusolver driver, batches 0 failed to converge. A more accurate method will be used to compute the SVD as a fallback. Check doc at https://pytorch.org/docs/stable/generated/torch.linalg.svd.html (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\aten\src\ATen\native\cuda\linalg\BatchLinearAlgebraLib.cpp:696.)
  S = torch.linalg.svdvals(acts_c)
Task: x3xy2y mod 113
Model: transformer  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.9073/4.9090 | acc 0.008/0.008 | pre
Ep    100 | loss 1.7308/8.8612 | acc 0.551/0.011 | pre
Ep    200 | loss 0.0435/21.2012 | acc 0.987/0.011 | pre
Ep    300 | loss 0.0208/21.3452 | acc 0.992/0.010 | pre
Ep    400 | loss 0.0123/21.2585 | acc 0.996/0.011 | pre
Ep    500 | loss 0.0070/21.7224 | acc 0.997/0.011 | pre
Ep    600 | loss 0.0039/21.3932 | acc 0.999/0.010 | pre
Ep    700 | loss 0.0018/22.5522 | acc 0.999/0.010 | pre
Ep    800 | loss 0.0008/23.9659 | acc 1.000/0.010 | pre
Ep    900 | loss 0.0006/25.4590 | acc 1.000/0.010 | pre
Ep   1000 | loss 0.0004/27.0360 | acc 1.000/0.010 | pre
Ep   1100 | loss 0.0004/28.6488 | acc 1.000/0.010 | pre
Ep   1200 | loss 0.0004/30.1977 | acc 1.000/0.010 | pre
Ep   1300 | loss 0.0010/28.0321 | acc 1.000/0.009 | pre
Ep   1400 | loss 0.0013/20.7340 | acc 1.000/0.010 | pre
Ep   1500 | loss 0.0005/22.0885 | acc 1.000/0.009 | pre
Ep   1600 | loss 0.0002/23.8541 | acc 1.000/0.009 | pre
Ep   1700 | loss 0.0001/25.6787 | acc 1.000/0.009 | pre
Ep   1800 | loss 0.0000/27.5088 | acc 1.000/0.009 | pre
Ep   1900 | loss 0.0000/29.2677 | acc 1.000/0.009 | pre
Ep   2000 | loss 0.0000/30.8681 | acc 1.000/0.009 | pre
Ep   2100 | loss 0.0000/32.2186 | acc 1.000/0.009 | pre
Ep   2200 | loss 0.0000/33.1539 | acc 1.000/0.009 | pre
Ep   2300 | loss 0.0000/33.5257 | acc 1.000/0.009 | pre
Ep   2400 | loss 0.0000/33.4404 | acc 1.000/0.008 | pre
Ep   2500 | loss 0.0000/33.2395 | acc 1.000/0.009 | pre
Ep   2600 | loss 0.0000/33.0618 | acc 1.000/0.008 | pre
Ep   2700 | loss 0.0000/32.9291 | acc 1.000/0.009 | pre
Ep   2800 | loss 0.0000/32.8418 | acc 1.000/0.009 | pre
Ep   2900 | loss 0.0000/32.8336 | acc 1.000/0.009 | pre
Ep   3000 | loss 0.0000/32.9475 | acc 1.000/0.009 | pre
Ep   3100 | loss 0.0000/33.0699 | acc 1.000/0.009 | pre
Ep   3200 | loss 0.0000/32.8703 | acc 1.000/0.010 | pre
