metric,corr_with_test_acc,frac_change_before_grok
condition_number_W_in_weight,0.8698,0.9855
l2_W_K_weight,-0.8603,0.8892
condition_number_W_K_weight,0.8441,0.5453
eff_rank_unembed_weight,-0.7627,0.9399
sign_stability_unembed_weight,-0.7357,0.9855
eff_rank_W_out_weight,-0.7344,0.9184
eff_rank_W_in_weight,-0.7214,0.9779
condition_number_W_out_weight,0.7197,1.0141
eff_rank_W_O_weight,-0.7149,0.948
condition_number_unembed_weight,0.7076,1.3426
condition_number_embed_weight,0.6852,0.6791
eff_rank_W_V_weight,-0.6602,0.9701
test_loss,-0.6096,0.9914
sign_stability_embed_weight,-0.608,0.9468
sign_stability_W_O_weight,-0.5751,0.9527
eff_rank_pos_embed,-0.5716,0.8022
condition_number_pos_embed,0.5588,0.6817
eff_rank_embed_weight,-0.5488,0.9756
sign_stability_pos_embed,-0.5204,1.0
sign_stability_W_in_weight,-0.4848,0.9735
test_entropy,-0.468,0.9747
sign_stability_W_V_weight,-0.4593,0.9805
sign_stability_W_out_weight,-0.4203,0.9931
weight_dist_init_embed_weight,0.4048,0.9923
weight_dist_init_W_in_bias,0.3804,0.7867
l2_embed_weight,-0.3763,0.9945
l2_unembed_weight,-0.3634,0.5072
l2_pos_embed,-0.3603,1.5659
sign_stability_W_K_weight,-0.3494,0.9874
weight_dist_init_W_out_bias,0.3319,0.962
l2_W_Q_weight,-0.3225,0.9792
eff_rank_W_K_weight,-0.3157,1.0009
sign_stability_W_out_bias,-0.3124,1.0606
eff_rank_W_Q_weight,-0.3094,1.0
sign_stability_W_in_bias,-0.2974,0.9835
grad_norm_W_K_weight,-0.2971,0.9888
grad_norm_pos_embed,-0.2949,0.9953
grad_norm_embed_weight,-0.294,0.9827
grad_norm_W_V_weight,-0.2929,0.9958
update_weight_ratio_pos_embed,-0.2928,0.8913
grad_norm_W_O_weight,-0.2922,0.9954
grad_norm_W_in_weight,-0.2892,0.9967
grad_norm_W_out_weight,-0.2863,0.9977
sign_stability_W_Q_weight,-0.2854,1.0
grad_norm_W_in_bias,-0.2852,0.9985
grad_norm_unembed_weight,-0.2841,0.9955
grad_norm_W_Q_weight,-0.2833,0.9986
grad_norm_W_out_bias,-0.2826,0.9999
train_loss,-0.2824,0.9997
dead_frac_mlp,-0.2819,1.0
l2_W_out_weight,-0.267,0.9047
weight_dist_init_W_Q_weight,-0.2501,0.9904
sparsity_mlp,0.2456,0.9317
margin,0.2022,0.4917
update_weight_ratio_W_Q_weight,-0.2003,0.9045
update_weight_ratio_embed_weight,0.1971,1.4531
update_weight_ratio_W_out_weight,-0.1888,0.9591
l2_W_in_weight,-0.1872,0.7984
weight_dist_init_W_O_weight,0.1868,0.9549
l2_W_in_bias,0.1732,-2.1033
weight_dist_init_W_K_weight,0.1704,1.0174
weight_dist_init_W_V_weight,0.1695,0.9588
weight_dist_init_W_in_weight,0.1664,0.9269
weight_dist_init_unembed_weight,-0.159,1.0566
update_weight_ratio_W_V_weight,-0.1531,0.8384
update_weight_ratio_W_out_bias,-0.1512,0.7744
update_weight_ratio_unembed_weight,-0.1301,0.869
update_weight_ratio_W_O_weight,-0.1299,0.8569
update_weight_ratio_W_in_bias,0.1193,-0.4254
weight_dist_init_pos_embed,0.1129,1.0173
l2_W_out_bias,-0.1106,1.5926
l2_W_V_weight,0.1017,0.9499
l2_W_O_weight,0.0815,0.9537
update_weight_ratio_W_K_weight,-0.0815,1.0452
weight_dist_init_W_out_weight,-0.0622,0.9506
condition_number_W_O_weight,-0.0555,1.5375
condition_number_W_V_weight,-0.0456,0.3428
cka_vs_prev,0.0432,1.003
condition_number_W_Q_weight,0.0392,0.3057
update_weight_ratio_W_in_weight,0.0157,0.8056
