Task: x3xy2y mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.7270/4.7281 | acc 0.007/0.009 | pre
Ep    100 | loss 3.4491/5.3377 | acc 0.196/0.006 | pre
Ep    200 | loss 1.2498/7.5820 | acc 0.806/0.008 | pre
Ep    300 | loss 0.1659/10.6596 | acc 1.000/0.010 | pre
Ep    400 | loss 0.0422/12.2813 | acc 1.000/0.009 | pre
Ep    500 | loss 0.0149/13.4375 | acc 1.000/0.009 | pre
Ep    600 | loss 0.0055/14.5539 | acc 1.000/0.009 | pre
Ep    700 | loss 0.0021/15.6598 | acc 1.000/0.010 | pre
Ep    800 | loss 0.0008/16.7717 | acc 1.000/0.010 | pre
Ep    900 | loss 0.0003/17.8834 | acc 1.000/0.010 | pre
Ep   1000 | loss 0.0001/18.9785 | acc 1.000/0.009 | pre
Ep   1100 | loss 0.0001/20.0308 | acc 1.000/0.009 | pre
Ep   1200 | loss 0.0000/20.9883 | acc 1.000/0.010 | pre
Ep   1300 | loss 0.0000/21.7861 | acc 1.000/0.009 | pre
Ep   1400 | loss 0.0000/22.3459 | acc 1.000/0.010 | pre
Ep   1500 | loss 0.0000/22.6265 | acc 1.000/0.010 | pre
Ep   1600 | loss 0.0000/22.6636 | acc 1.000/0.010 | pre
Ep   1700 | loss 0.0000/22.5663 | acc 1.000/0.010 | pre
Ep   1800 | loss 0.0000/22.4247 | acc 1.000/0.010 | pre
Ep   1900 | loss 0.0000/22.2865 | acc 1.000/0.010 | pre
Ep   2000 | loss 0.0000/22.1594 | acc 1.000/0.010 | pre
Ep   2100 | loss 0.0000/22.0454 | acc 1.000/0.010 | pre
Ep   2200 | loss 0.0000/21.9411 | acc 1.000/0.010 | pre
Ep   2300 | loss 0.0000/21.8482 | acc 1.000/0.010 | pre
Ep   2400 | loss 0.0000/21.7572 | acc 1.000/0.009 | pre
Ep   2500 | loss 0.0000/21.6709 | acc 1.000/0.009 | pre
Ep   2600 | loss 0.0000/21.5932 | acc 1.000/0.009 | pre
Ep   2700 | loss 0.0000/21.5212 | acc 1.000/0.009 | pre
Ep   2800 | loss 0.0000/21.4525 | acc 1.000/0.009 | pre
Ep   2900 | loss 0.0000/21.3905 | acc 1.000/0.009 | pre
Ep   3000 | loss 0.0000/21.3297 | acc 1.000/0.009 | pre
Ep   3100 | loss 0.0000/21.2739 | acc 1.000/0.009 | pre
Ep   3200 | loss 0.0000/21.2224 | acc 1.000/0.009 | pre
Ep   3300 | loss 0.0000/21.1735 | acc 1.000/0.009 | pre
Ep   3400 | loss 0.0000/21.1266 | acc 1.000/0.009 | pre
Ep   3500 | loss 0.0000/21.0819 | acc 1.000/0.009 | pre
Ep   3600 | loss 0.0000/21.0345 | acc 1.000/0.009 | pre
Ep   3700 | loss 0.0000/20.9917 | acc 1.000/0.009 | pre
Ep   3800 | loss 0.0000/20.9522 | acc 1.000/0.009 | pre
Ep   3900 | loss 0.0000/20.9121 | acc 1.000/0.009 | pre
Ep   4000 | loss 0.0000/20.8738 | acc 1.000/0.009 | pre
Ep   4100 | loss 0.0000/20.8345 | acc 1.000/0.009 | pre
Ep   4200 | loss 0.0000/20.7964 | acc 1.000/0.009 | pre
Ep   4300 | loss 0.0000/20.7606 | acc 1.000/0.010 | pre
Ep   4400 | loss 0.0000/20.7226 | acc 1.000/0.010 | pre
Ep   4500 | loss 0.0000/20.6882 | acc 1.000/0.010 | pre
Ep   4600 | loss 0.0000/20.6552 | acc 1.000/0.009 | pre
Ep   4700 | loss 0.0000/20.6243 | acc 1.000/0.009 | pre
Ep   4800 | loss 0.0000/20.5926 | acc 1.000/0.009 | pre
Ep   4900 | loss 0.0000/20.5618 | acc 1.000/0.010 | pre
Ep   5000 | loss 0.0000/20.5329 | acc 1.000/0.010 | pre
Ep   5100 | loss 0.0000/20.5058 | acc 1.000/0.009 | pre
Ep   5200 | loss 0.0000/20.4813 | acc 1.000/0.009 | pre
Ep   5300 | loss 0.0000/20.4545 | acc 1.000/0.009 | pre
Ep   5400 | loss 0.0000/20.4284 | acc 1.000/0.010 | pre
Ep   5500 | loss 0.0000/20.4043 | acc 1.000/0.010 | pre
Ep   5600 | loss 0.0000/20.3804 | acc 1.000/0.009 | pre
Ep   5700 | loss 0.0000/20.3585 | acc 1.000/0.009 | pre
Ep   5800 | loss 0.0000/20.3359 | acc 1.000/0.009 | pre
Ep   5900 | loss 0.0000/20.3136 | acc 1.000/0.009 | pre
Ep   6000 | loss 0.0000/20.2896 | acc 1.000/0.009 | pre
Ep   6100 | loss 0.0000/20.2663 | acc 1.000/0.009 | pre
Ep   6200 | loss 0.0000/20.2442 | acc 1.000/0.009 | pre
Ep   6300 | loss 0.0000/20.2245 | acc 1.000/0.009 | pre
Ep   6400 | loss 0.0000/20.2054 | acc 1.000/0.009 | pre
Ep   6500 | loss 0.0000/20.1872 | acc 1.000/0.009 | pre
Ep   6600 | loss 0.0000/20.1692 | acc 1.000/0.009 | pre
Ep   6700 | loss 0.0000/20.1516 | acc 1.000/0.009 | pre
Ep   6800 | loss 0.0000/20.1347 | acc 1.000/0.009 | pre
Ep   6900 | loss 0.0000/20.1161 | acc 1.000/0.009 | pre
Ep   7000 | loss 0.0000/20.0988 | acc 1.000/0.008 | pre
Ep   7100 | loss 0.0000/20.0823 | acc 1.000/0.009 | pre
Ep   7200 | loss 0.0000/20.0674 | acc 1.000/0.008 | pre
Ep   7300 | loss 0.0000/20.0526 | acc 1.000/0.008 | pre
Ep   7400 | loss 0.0000/20.0379 | acc 1.000/0.008 | pre
Ep   7500 | loss 0.0000/20.0221 | acc 1.000/0.008 | pre
Ep   7600 | loss 0.0000/20.0078 | acc 1.000/0.009 | pre
Ep   7700 | loss 0.0000/19.9935 | acc 1.000/0.009 | pre
Ep   7800 | loss 0.0000/19.9791 | acc 1.000/0.009 | pre
Ep   7900 | loss 0.0000/19.9643 | acc 1.000/0.009 | pre
Ep   8000 | loss 0.0000/19.9496 | acc 1.000/0.009 | pre
Ep   8100 | loss 0.0000/19.9357 | acc 1.000/0.009 | pre
Ep   8200 | loss 0.0000/19.9228 | acc 1.000/0.009 | pre
Ep   8300 | loss 0.0000/19.9088 | acc 1.000/0.009 | pre
Ep   8400 | loss 0.0000/19.8949 | acc 1.000/0.009 | pre
Ep   8500 | loss 0.0000/19.8827 | acc 1.000/0.009 | pre
Ep   8600 | loss 0.0000/19.8680 | acc 1.000/0.009 | pre
Ep   8700 | loss 0.0000/19.8555 | acc 1.000/0.009 | pre
Ep   8800 | loss 0.0000/19.8425 | acc 1.000/0.009 | pre
Ep   8900 | loss 0.0000/19.8298 | acc 1.000/0.009 | pre
Ep   9000 | loss 0.0000/19.8156 | acc 1.000/0.009 | pre
Ep   9100 | loss 0.0000/19.8028 | acc 1.000/0.008 | pre
Ep   9200 | loss 0.0000/19.7896 | acc 1.000/0.009 | pre
Ep   9300 | loss 0.0000/19.7794 | acc 1.000/0.009 | pre
Ep   9400 | loss 0.0000/19.7691 | acc 1.000/0.009 | pre
Ep   9500 | loss 0.0000/19.7582 | acc 1.000/0.008 | pre
Ep   9600 | loss 0.0000/19.7469 | acc 1.000/0.008 | pre
Ep   9700 | loss 0.0000/19.7349 | acc 1.000/0.009 | pre
Ep   9800 | loss 0.0000/19.7237 | acc 1.000/0.008 | pre
Ep   9900 | loss 0.0000/19.7130 | acc 1.000/0.009 | pre
Ep  10000 | loss 0.0000/19.7023 | acc 1.000/0.009 | pre
Ep  10100 | loss 0.0000/19.6915 | acc 1.000/0.009 | pre
Ep  10200 | loss 0.0000/19.6815 | acc 1.000/0.009 | pre
Ep  10300 | loss 0.0000/19.6723 | acc 1.000/0.009 | pre
Ep  10400 | loss 0.0000/19.6616 | acc 1.000/0.009 | pre
Ep  10500 | loss 0.0000/19.6505 | acc 1.000/0.009 | pre
Ep  10600 | loss 0.0000/19.6393 | acc 1.000/0.009 | pre
Ep  10700 | loss 0.0000/19.6290 | acc 1.000/0.009 | pre
Ep  10800 | loss 0.0000/19.6186 | acc 1.000/0.009 | pre
Ep  10900 | loss 0.0000/19.6091 | acc 1.000/0.009 | pre
Ep  11000 | loss 0.0000/19.5998 | acc 1.000/0.009 | pre
Ep  11100 | loss 0.0000/19.5901 | acc 1.000/0.009 | pre
Ep  11200 | loss 0.0000/19.5796 | acc 1.000/0.009 | pre
Ep  11300 | loss 0.0000/19.5681 | acc 1.000/0.009 | pre
Ep  11400 | loss 0.0000/19.5584 | acc 1.000/0.010 | pre
Ep  11500 | loss 0.0000/19.5477 | acc 1.000/0.009 | pre
Ep  11600 | loss 0.0000/19.5384 | acc 1.000/0.009 | pre
Ep  11700 | loss 0.0000/19.5290 | acc 1.000/0.009 | pre
Ep  11800 | loss 0.0000/19.5188 | acc 1.000/0.009 | pre
Ep  11900 | loss 0.0000/19.5078 | acc 1.000/0.009 | pre
Ep  12000 | loss 0.0000/19.4956 | acc 1.000/0.009 | pre
Ep  12100 | loss 0.0000/19.4840 | acc 1.000/0.009 | pre
Ep  12200 | loss 0.0000/19.4716 | acc 1.000/0.009 | pre
Ep  12300 | loss 0.0000/19.4618 | acc 1.000/0.009 | pre
Ep  12400 | loss 0.0000/19.4529 | acc 1.000/0.009 | pre
Ep  12500 | loss 0.0000/19.4438 | acc 1.000/0.009 | pre
Ep  12600 | loss 0.0000/19.4349 | acc 1.000/0.009 | pre
Ep  12700 | loss 0.0000/19.4251 | acc 1.000/0.009 | pre
Ep  12800 | loss 0.0000/19.4178 | acc 1.000/0.009 | pre
Ep  12900 | loss 0.0000/19.4116 | acc 1.000/0.009 | pre
Ep  13000 | loss 0.0000/19.4045 | acc 1.000/0.009 | pre
Ep  13100 | loss 0.0000/19.3967 | acc 1.000/0.009 | pre
Ep  13200 | loss 0.0000/19.3894 | acc 1.000/0.009 | pre
Ep  13300 | loss 0.0000/19.3825 | acc 1.000/0.009 | pre
Ep  13400 | loss 0.0000/19.3755 | acc 1.000/0.009 | pre
Ep  13500 | loss 0.0000/19.3692 | acc 1.000/0.009 | pre
Ep  13600 | loss 0.0000/19.3622 | acc 1.000/0.009 | pre
Ep  13700 | loss 0.0000/19.3552 | acc 1.000/0.009 | pre
Ep  13800 | loss 0.0000/19.3477 | acc 1.000/0.009 | pre
Ep  13900 | loss 0.0000/19.3404 | acc 1.000/0.009 | pre
Ep  14000 | loss 0.0000/19.3340 | acc 1.000/0.009 | pre
Ep  14100 | loss 0.0000/19.3280 | acc 1.000/0.009 | pre
Ep  14200 | loss 0.0000/19.3220 | acc 1.000/0.008 | pre
Ep  14300 | loss 0.0000/19.3169 | acc 1.000/0.008 | pre
Ep  14400 | loss 0.0000/19.3113 | acc 1.000/0.009 | pre
Ep  14500 | loss 0.0000/19.3052 | acc 1.000/0.009 | pre
Ep  14600 | loss 0.0000/19.2989 | acc 1.000/0.009 | pre
Ep  14700 | loss 0.0000/19.2929 | acc 1.000/0.009 | pre
Ep  14800 | loss 0.0000/19.2874 | acc 1.000/0.009 | pre
Ep  14900 | loss 0.0000/19.2821 | acc 1.000/0.009 | pre
Ep  15000 | loss 0.0000/19.2773 | acc 1.000/0.009 | pre
Ep  15100 | loss 0.0000/19.2713 | acc 1.000/0.009 | pre
Ep  15200 | loss 0.0000/19.2665 | acc 1.000/0.009 | pre
Ep  15300 | loss 0.0000/19.2625 | acc 1.000/0.009 | pre
Ep  15400 | loss 0.0000/19.2585 | acc 1.000/0.009 | pre
Ep  15500 | loss 0.0000/19.2541 | acc 1.000/0.009 | pre
Ep  15600 | loss 0.0000/19.2487 | acc 1.000/0.009 | pre
Ep  15700 | loss 0.0000/19.2439 | acc 1.000/0.009 | pre
Ep  15800 | loss 0.0000/19.2388 | acc 1.000/0.009 | pre
Ep  15900 | loss 0.0000/19.2327 | acc 1.000/0.009 | pre
Ep  16000 | loss 0.0000/19.2279 | acc 1.000/0.009 | pre
Ep  16100 | loss 0.0000/19.2235 | acc 1.000/0.009 | pre
Ep  16200 | loss 0.0000/19.2200 | acc 1.000/0.009 | pre
Ep  16300 | loss 0.0000/19.2152 | acc 1.000/0.009 | pre
Ep  16400 | loss 0.0000/19.2088 | acc 1.000/0.009 | pre
Ep  16500 | loss 0.0000/19.2032 | acc 1.000/0.009 | pre
Ep  16600 | loss 0.0000/19.1988 | acc 1.000/0.009 | pre
Ep  16700 | loss 0.0000/19.1936 | acc 1.000/0.009 | pre
Ep  16800 | loss 0.0000/19.1888 | acc 1.000/0.009 | pre
Ep  16900 | loss 0.0000/19.1836 | acc 1.000/0.009 | pre
Ep  17000 | loss 0.0000/19.1785 | acc 1.000/0.009 | pre
Ep  17100 | loss 0.0000/19.1739 | acc 1.000/0.009 | pre
Ep  17200 | loss 0.0000/19.1699 | acc 1.000/0.009 | pre
Ep  17300 | loss 0.0000/19.1655 | acc 1.000/0.009 | pre
Ep  17400 | loss 0.0000/19.1618 | acc 1.000/0.009 | pre
Ep  17500 | loss 0.0000/19.1585 | acc 1.000/0.009 | pre
Ep  17600 | loss 0.0000/19.1556 | acc 1.000/0.009 | pre
Ep  17700 | loss 0.0000/19.1528 | acc 1.000/0.008 | pre
Ep  17800 | loss 0.0000/19.1498 | acc 1.000/0.008 | pre
Ep  17900 | loss 0.0000/19.1451 | acc 1.000/0.008 | pre
Ep  18000 | loss 0.0000/19.1409 | acc 1.000/0.008 | pre
Ep  18100 | loss 0.0000/19.1365 | acc 1.000/0.008 | pre
Ep  18200 | loss 0.0000/19.1327 | acc 1.000/0.008 | pre
Ep  18300 | loss 0.0000/19.1288 | acc 1.000/0.008 | pre
Ep  18400 | loss 0.0000/19.1250 | acc 1.000/0.008 | pre
Ep  18500 | loss 0.0000/19.1215 | acc 1.000/0.008 | pre
Ep  18600 | loss 0.0000/19.1173 | acc 1.000/0.008 | pre
Ep  18700 | loss 0.0000/19.1127 | acc 1.000/0.008 | pre
Ep  18800 | loss 0.0000/19.1087 | acc 1.000/0.008 | pre
Ep  18900 | loss 0.0000/19.1048 | acc 1.000/0.008 | pre
