Task: x3xy2y mod 113
Model: mlp  |  Train: 3830  Test: 8939
Optimizer: AdamW lr=0.001 wd=1.0 betas=(0.9,0.98)
Ep      0 | loss 4.7270/4.7281 | acc 0.007/0.009 | pre
Ep    100 | loss 3.4491/5.3377 | acc 0.196/0.006 | pre
Ep    200 | loss 1.2498/7.5820 | acc 0.806/0.008 | pre
Ep    300 | loss 0.1659/10.6596 | acc 1.000/0.010 | pre
Ep    400 | loss 0.0422/12.2813 | acc 1.000/0.009 | pre
Ep    500 | loss 0.0149/13.4375 | acc 1.000/0.009 | pre
Ep    600 | loss 0.0055/14.5539 | acc 1.000/0.009 | pre
Ep    700 | loss 0.0021/15.6598 | acc 1.000/0.010 | pre
Ep    800 | loss 0.0008/16.7717 | acc 1.000/0.010 | pre
Ep    900 | loss 0.0003/17.8834 | acc 1.000/0.010 | pre
Ep   1000 | loss 0.0001/18.9785 | acc 1.000/0.009 | pre
Ep   1100 | loss 0.0001/20.0308 | acc 1.000/0.009 | pre
Ep   1200 | loss 0.0000/20.9880 | acc 1.000/0.010 | pre
Ep   1300 | loss 0.0000/21.7865 | acc 1.000/0.010 | pre
Ep   1400 | loss 0.0000/22.3466 | acc 1.000/0.010 | pre
Ep   1500 | loss 0.0000/22.6275 | acc 1.000/0.010 | pre
Ep   1600 | loss 0.0000/22.6645 | acc 1.000/0.010 | pre
Ep   1700 | loss 0.0000/22.5679 | acc 1.000/0.010 | pre
Ep   1800 | loss 0.0000/22.4250 | acc 1.000/0.010 | pre
Ep   1900 | loss 0.0000/22.2882 | acc 1.000/0.010 | pre
Ep   2000 | loss 0.0000/22.1609 | acc 1.000/0.010 | pre
Ep   2100 | loss 0.0000/22.0463 | acc 1.000/0.010 | pre
Ep   2200 | loss 0.0000/21.9424 | acc 1.000/0.009 | pre
Ep   2300 | loss 0.0000/21.8482 | acc 1.000/0.009 | pre
Ep   2400 | loss 0.0000/21.7572 | acc 1.000/0.009 | pre
Ep   2500 | loss 0.0000/21.6705 | acc 1.000/0.009 | pre
Ep   2600 | loss 0.0000/21.5938 | acc 1.000/0.009 | pre
Ep   2700 | loss 0.0000/21.5239 | acc 1.000/0.009 | pre
Ep   2800 | loss 0.0000/21.4569 | acc 1.000/0.009 | pre
Ep   2900 | loss 0.0000/21.3932 | acc 1.000/0.009 | pre
Ep   3000 | loss 0.0000/21.3343 | acc 1.000/0.009 | pre
Ep   3100 | loss 0.0000/21.2764 | acc 1.000/0.009 | pre
Ep   3200 | loss 0.0000/21.2236 | acc 1.000/0.009 | pre
Ep   3300 | loss 0.0000/21.1747 | acc 1.000/0.009 | pre
Ep   3400 | loss 0.0000/21.1278 | acc 1.000/0.009 | pre
Ep   3500 | loss 0.0000/21.0823 | acc 1.000/0.009 | pre
Ep   3600 | loss 0.0000/21.0372 | acc 1.000/0.009 | pre
Ep   3700 | loss 0.0000/20.9950 | acc 1.000/0.009 | pre
Ep   3800 | loss 0.0000/20.9518 | acc 1.000/0.009 | pre
Ep   3900 | loss 0.0000/20.9093 | acc 1.000/0.009 | pre
Ep   4000 | loss 0.0000/20.8702 | acc 1.000/0.009 | pre
Ep   4100 | loss 0.0000/20.8317 | acc 1.000/0.010 | pre
Ep   4200 | loss 0.0000/20.7926 | acc 1.000/0.010 | pre
Ep   4300 | loss 0.0000/20.7559 | acc 1.000/0.010 | pre
Ep   4400 | loss 0.0000/20.7218 | acc 1.000/0.010 | pre
Ep   4500 | loss 0.0000/20.6862 | acc 1.000/0.010 | pre
Ep   4600 | loss 0.0000/20.6503 | acc 1.000/0.010 | pre
Ep   4700 | loss 0.0000/20.6199 | acc 1.000/0.009 | pre
Ep   4800 | loss 0.0000/20.5894 | acc 1.000/0.010 | pre
Ep   4900 | loss 0.0000/20.5601 | acc 1.000/0.010 | pre
Ep   5000 | loss 0.0000/20.5317 | acc 1.000/0.010 | pre
Ep   5100 | loss 0.0000/20.5053 | acc 1.000/0.010 | pre
Ep   5200 | loss 0.0000/20.4794 | acc 1.000/0.010 | pre
Ep   5300 | loss 0.0000/20.4541 | acc 1.000/0.009 | pre
Ep   5400 | loss 0.0000/20.4301 | acc 1.000/0.010 | pre
Ep   5500 | loss 0.0000/20.4054 | acc 1.000/0.009 | pre
Ep   5600 | loss 0.0000/20.3808 | acc 1.000/0.010 | pre
Ep   5700 | loss 0.0000/20.3573 | acc 1.000/0.010 | pre
Ep   5800 | loss 0.0000/20.3334 | acc 1.000/0.009 | pre
Ep   5900 | loss 0.0000/20.3126 | acc 1.000/0.009 | pre
Ep   6000 | loss 0.0000/20.2901 | acc 1.000/0.009 | pre
Ep   6100 | loss 0.0000/20.2671 | acc 1.000/0.009 | pre
Ep   6200 | loss 0.0000/20.2477 | acc 1.000/0.010 | pre
Ep   6300 | loss 0.0000/20.2288 | acc 1.000/0.009 | pre
Ep   6400 | loss 0.0000/20.2108 | acc 1.000/0.009 | pre
Ep   6500 | loss 0.0000/20.1913 | acc 1.000/0.010 | pre
Ep   6600 | loss 0.0000/20.1694 | acc 1.000/0.010 | pre
Ep   6700 | loss 0.0000/20.1489 | acc 1.000/0.010 | pre
Ep   6800 | loss 0.0000/20.1294 | acc 1.000/0.010 | pre
Ep   6900 | loss 0.0000/20.1128 | acc 1.000/0.009 | pre
Ep   7000 | loss 0.0000/20.0953 | acc 1.000/0.009 | pre
Ep   7100 | loss 0.0000/20.0777 | acc 1.000/0.009 | pre
Ep   7200 | loss 0.0000/20.0613 | acc 1.000/0.009 | pre
Ep   7300 | loss 0.0000/20.0467 | acc 1.000/0.009 | pre
Ep   7400 | loss 0.0000/20.0326 | acc 1.000/0.009 | pre
Ep   7500 | loss 0.0000/20.0180 | acc 1.000/0.009 | pre
Ep   7600 | loss 0.0000/20.0028 | acc 1.000/0.009 | pre
Ep   7700 | loss 0.0000/19.9879 | acc 1.000/0.009 | pre
Ep   7800 | loss 0.0000/19.9731 | acc 1.000/0.009 | pre
Ep   7900 | loss 0.0000/19.9571 | acc 1.000/0.009 | pre
Ep   8000 | loss 0.0000/19.9423 | acc 1.000/0.009 | pre
Ep   8100 | loss 0.0000/19.9283 | acc 1.000/0.009 | pre
Ep   8200 | loss 0.0000/19.9130 | acc 1.000/0.008 | pre
Ep   8300 | loss 0.0000/19.8996 | acc 1.000/0.009 | pre
Ep   8400 | loss 0.0000/19.8876 | acc 1.000/0.008 | pre
Ep   8500 | loss 0.0000/19.8754 | acc 1.000/0.009 | pre
Ep   8600 | loss 0.0000/19.8631 | acc 1.000/0.008 | pre
Ep   8700 | loss 0.0000/19.8497 | acc 1.000/0.008 | pre
Ep   8800 | loss 0.0000/19.8369 | acc 1.000/0.009 | pre
Ep   8900 | loss 0.0000/19.8240 | acc 1.000/0.009 | pre
Ep   9000 | loss 0.0000/19.8094 | acc 1.000/0.009 | pre
Ep   9100 | loss 0.0000/19.7967 | acc 1.000/0.009 | pre
Ep   9200 | loss 0.0000/19.7842 | acc 1.000/0.009 | pre
Ep   9300 | loss 0.0000/19.7736 | acc 1.000/0.009 | pre
Ep   9400 | loss 0.0000/19.7615 | acc 1.000/0.009 | pre
Ep   9500 | loss 0.0000/19.7490 | acc 1.000/0.009 | pre
Ep   9600 | loss 0.0000/19.7379 | acc 1.000/0.009 | pre
Ep   9700 | loss 0.0000/19.7272 | acc 1.000/0.009 | pre
Ep   9800 | loss 0.0000/19.7160 | acc 1.000/0.009 | pre
Ep   9900 | loss 0.0000/19.7053 | acc 1.000/0.009 | pre
Ep  10000 | loss 0.0000/19.6946 | acc 1.000/0.008 | pre
Ep  10100 | loss 0.0000/19.6838 | acc 1.000/0.009 | pre
Ep  10200 | loss 0.0000/19.6730 | acc 1.000/0.008 | pre
Ep  10300 | loss 0.0000/19.6619 | acc 1.000/0.008 | pre
Ep  10400 | loss 0.0000/19.6508 | acc 1.000/0.009 | pre
Ep  10500 | loss 0.0000/19.6411 | acc 1.000/0.009 | pre
Ep  10600 | loss 0.0000/19.6301 | acc 1.000/0.009 | pre
Ep  10700 | loss 0.0000/19.6198 | acc 1.000/0.009 | pre
Ep  10800 | loss 0.0000/19.6084 | acc 1.000/0.009 | pre
Ep  10900 | loss 0.0000/19.5989 | acc 1.000/0.009 | pre
Ep  11000 | loss 0.0000/19.5903 | acc 1.000/0.009 | pre
Ep  11100 | loss 0.0000/19.5818 | acc 1.000/0.009 | pre
Ep  11200 | loss 0.0000/19.5725 | acc 1.000/0.009 | pre
Ep  11300 | loss 0.0000/19.5638 | acc 1.000/0.009 | pre
Ep  11400 | loss 0.0000/19.5550 | acc 1.000/0.009 | pre
Ep  11500 | loss 0.0000/19.5449 | acc 1.000/0.009 | pre
Ep  11600 | loss 0.0000/19.5361 | acc 1.000/0.009 | pre
Ep  11700 | loss 0.0000/19.5285 | acc 1.000/0.009 | pre
Ep  11800 | loss 0.0000/19.5209 | acc 1.000/0.009 | pre
Ep  11900 | loss 0.0000/19.5127 | acc 1.000/0.009 | pre
Ep  12000 | loss 0.0000/19.5060 | acc 1.000/0.009 | pre
Ep  12100 | loss 0.0000/19.4984 | acc 1.000/0.009 | pre
Ep  12200 | loss 0.0000/19.4898 | acc 1.000/0.009 | pre
Ep  12300 | loss 0.0000/19.4812 | acc 1.000/0.009 | pre
Ep  12400 | loss 0.0000/19.4743 | acc 1.000/0.009 | pre
Ep  12500 | loss 0.0000/19.4662 | acc 1.000/0.009 | pre
Ep  12600 | loss 0.0000/19.4592 | acc 1.000/0.009 | pre
Ep  12700 | loss 0.0000/19.4518 | acc 1.000/0.009 | pre
Ep  12800 | loss 0.0000/19.4440 | acc 1.000/0.009 | pre
Ep  12900 | loss 0.0000/19.4374 | acc 1.000/0.009 | pre
Ep  13000 | loss 0.0000/19.4304 | acc 1.000/0.009 | pre
Ep  13100 | loss 0.0000/19.4235 | acc 1.000/0.009 | pre
Ep  13200 | loss 0.0000/19.4167 | acc 1.000/0.009 | pre
Ep  13300 | loss 0.0000/19.4094 | acc 1.000/0.009 | pre
Ep  13400 | loss 0.0000/19.4024 | acc 1.000/0.009 | pre
Ep  13500 | loss 0.0000/19.3957 | acc 1.000/0.009 | pre
Ep  13600 | loss 0.0000/19.3902 | acc 1.000/0.009 | pre
Ep  13700 | loss 0.0000/19.3842 | acc 1.000/0.009 | pre
Ep  13800 | loss 0.0000/19.3787 | acc 1.000/0.009 | pre
Ep  13900 | loss 0.0000/19.3725 | acc 1.000/0.009 | pre
Ep  14000 | loss 0.0000/19.3664 | acc 1.000/0.009 | pre
Ep  14100 | loss 0.0000/19.3605 | acc 1.000/0.009 | pre
Ep  14200 | loss 0.0000/19.3550 | acc 1.000/0.009 | pre
Ep  14300 | loss 0.0000/19.3500 | acc 1.000/0.009 | pre
Ep  14400 | loss 0.0000/19.3448 | acc 1.000/0.008 | pre
Ep  14500 | loss 0.0000/19.3387 | acc 1.000/0.008 | pre
Ep  14600 | loss 0.0000/19.3331 | acc 1.000/0.008 | pre
Ep  14700 | loss 0.0000/19.3281 | acc 1.000/0.008 | pre
Ep  14800 | loss 0.0000/19.3216 | acc 1.000/0.008 | pre
Ep  14900 | loss 0.0000/19.3147 | acc 1.000/0.008 | pre
Ep  15000 | loss 0.0000/19.3091 | acc 1.000/0.008 | pre
Ep  15100 | loss 0.0000/19.3042 | acc 1.000/0.008 | pre
Ep  15200 | loss 0.0000/19.2992 | acc 1.000/0.008 | pre
Ep  15300 | loss 0.0000/19.2940 | acc 1.000/0.008 | pre
Ep  15400 | loss 0.0000/19.2902 | acc 1.000/0.008 | pre
Ep  15500 | loss 0.0000/19.2854 | acc 1.000/0.008 | pre
Ep  15600 | loss 0.0000/19.2791 | acc 1.000/0.008 | pre
Ep  15700 | loss 0.0000/19.2736 | acc 1.000/0.008 | pre
Ep  15800 | loss 0.0000/19.2682 | acc 1.000/0.008 | pre
Ep  15900 | loss 0.0000/19.2620 | acc 1.000/0.008 | pre
Ep  16000 | loss 0.0000/19.2564 | acc 1.000/0.008 | pre
Ep  16100 | loss 0.0000/19.2509 | acc 1.000/0.008 | pre
Ep  16200 | loss 0.0000/19.2453 | acc 1.000/0.008 | pre
Ep  16300 | loss 0.0000/19.2400 | acc 1.000/0.008 | pre
Ep  16400 | loss 0.0000/19.2351 | acc 1.000/0.008 | pre
Ep  16500 | loss 0.0000/19.2303 | acc 1.000/0.008 | pre
Ep  16600 | loss 0.0000/19.2257 | acc 1.000/0.008 | pre
Ep  16700 | loss 0.0000/19.2211 | acc 1.000/0.008 | pre
Ep  16800 | loss 0.0000/19.2175 | acc 1.000/0.008 | pre
Ep  16900 | loss 0.0000/19.2142 | acc 1.000/0.008 | pre
Ep  17000 | loss 0.0000/19.2103 | acc 1.000/0.008 | pre
Ep  17100 | loss 0.0000/19.2061 | acc 1.000/0.008 | pre
Ep  17200 | loss 0.0000/19.2019 | acc 1.000/0.008 | pre
Ep  17300 | loss 0.0000/19.1978 | acc 1.000/0.008 | pre
Ep  17400 | loss 0.0000/19.1939 | acc 1.000/0.008 | pre
Ep  17500 | loss 0.0000/19.1893 | acc 1.000/0.008 | pre
Ep  17600 | loss 0.0000/19.1848 | acc 1.000/0.008 | pre
Ep  17700 | loss 0.0000/19.1796 | acc 1.000/0.008 | pre
Ep  17800 | loss 0.0000/19.1750 | acc 1.000/0.008 | pre
Ep  17900 | loss 0.0000/19.1695 | acc 1.000/0.008 | pre
Ep  18000 | loss 0.0000/19.1643 | acc 1.000/0.007 | pre
Ep  18100 | loss 0.0000/19.1599 | acc 1.000/0.008 | pre
Ep  18200 | loss 0.0000/19.1555 | acc 1.000/0.008 | pre
Ep  18300 | loss 0.0000/19.1506 | acc 1.000/0.007 | pre
Ep  18400 | loss 0.0000/19.1463 | acc 1.000/0.008 | pre
Ep  18500 | loss 0.0000/19.1409 | acc 1.000/0.008 | pre
Ep  18600 | loss 0.0000/19.1343 | acc 1.000/0.007 | pre
Ep  18700 | loss 0.0000/19.1285 | acc 1.000/0.008 | pre
Ep  18800 | loss 0.0000/19.1237 | acc 1.000/0.008 | pre
Ep  18900 | loss 0.0000/19.1195 | acc 1.000/0.008 | pre
