epoch,grad_norm_pos_embed,grad_norm_embed_weight,grad_norm_W_Q_weight,grad_norm_W_K_weight,grad_norm_W_V_weight,grad_norm_W_O_weight,grad_norm_W_in_weight,grad_norm_W_in_bias,grad_norm_W_out_weight,grad_norm_W_out_bias,grad_norm_unembed_weight,train_loss,test_loss,train_acc,test_acc,acc_gap,grokking_score,l2_pos_embed,eff_rank_pos_embed,condition_number_pos_embed,weight_dist_init_pos_embed,sign_stability_pos_embed,update_weight_ratio_pos_embed,l2_embed_weight,eff_rank_embed_weight,condition_number_embed_weight,weight_dist_init_embed_weight,sign_stability_embed_weight,update_weight_ratio_embed_weight,l2_W_Q_weight,eff_rank_W_Q_weight,condition_number_W_Q_weight,weight_dist_init_W_Q_weight,sign_stability_W_Q_weight,update_weight_ratio_W_Q_weight,l2_W_K_weight,eff_rank_W_K_weight,condition_number_W_K_weight,weight_dist_init_W_K_weight,sign_stability_W_K_weight,update_weight_ratio_W_K_weight,l2_W_V_weight,eff_rank_W_V_weight,condition_number_W_V_weight,weight_dist_init_W_V_weight,sign_stability_W_V_weight,update_weight_ratio_W_V_weight,l2_W_O_weight,eff_rank_W_O_weight,condition_number_W_O_weight,weight_dist_init_W_O_weight,sign_stability_W_O_weight,update_weight_ratio_W_O_weight,l2_W_in_weight,eff_rank_W_in_weight,condition_number_W_in_weight,weight_dist_init_W_in_weight,sign_stability_W_in_weight,update_weight_ratio_W_in_weight,l2_W_in_bias,weight_dist_init_W_in_bias,sign_stability_W_in_bias,update_weight_ratio_W_in_bias,l2_W_out_weight,eff_rank_W_out_weight,condition_number_W_out_weight,weight_dist_init_W_out_weight,sign_stability_W_out_weight,update_weight_ratio_W_out_weight,l2_W_out_bias,weight_dist_init_W_out_bias,sign_stability_W_out_bias,update_weight_ratio_W_out_bias,l2_unembed_weight,eff_rank_unembed_weight,condition_number_unembed_weight,weight_dist_init_unembed_weight,sign_stability_unembed_weight,update_weight_ratio_unembed_weight,dead_frac_mlp,sparsity_mlp,margin,test_entropy,sharpness,fourier_mean_top_freq_mlp,fourier_mean_frac_explained_mlp,fourier_mean_entropy_mlp,fourier_key_freqs_mlp,phase,cka_vs_prev
0,0.0535055473446846,0.053102392703294754,0.021125124767422676,0.02097104676067829,0.1417194902896881,0.14452333748340607,0.20313197374343872,0.018174195662140846,0.44757726788520813,0.05052199587225914,0.8108332753181458,4.90726900100708,4.908998012542725,0.008355091325938702,0.008166461251676083,0.00018863007426261902,0.9774233378303108,1.6944057941436768,2.994368314743042,1.1596744060516357,0.001960351364687085,1.0,0.0011569550644022748,121.56998443603516,95.73445892333984,25.964128494262695,0.017311492934823036,1.0,0.0001423994007659974,6.5327606201171875,102.67042541503906,453.99432373046875,0.012795710936188698,0.99957275390625,0.0019586988840192897,6.566843509674072,103.30233764648438,90532.515625,0.012784385122358799,0.9991455078125,0.0019468082501928414,6.516547203063965,103.34008026123047,362.6341857910156,0.01282484456896782,0.99957275390625,0.0019680429174115097,6.511322021484375,102.88964080810547,323.0719299316406,0.01281590387225151,0.9993896484375,0.001968249125133868,13.095683097839355,123.54742431640625,2.946042776107788,0.0214163139462471,0.9996337890625,0.001635372037200607,1.1454005241394043,0.0018889986677095294,1.0,0.0016492035998750979,6.527003288269043,123.56180572509766,2.9164741039276123,0.021304206922650337,0.9990692138671875,0.003264010447327383,0.28664854168891907,0.001136522856540978,1.0,0.003964865301056972,6.153160572052002,95.21300506591797,29.834915161132812,0.012077524326741695,0.9991703629493713,0.0019628163746609317,0.3046875,0.5005349516868591,0.5019742250442505,4.541601181030273,0.20190443098545074,17.765625,0.046291011712268716,3.9786498891189694,"[0, 21, 30]",pre,
500,0.0015128734521567822,0.0014208101201802492,0.0001349742669845,0.00271055125631392,0.005521556828171015,0.00483824172988534,0.005771102383732796,0.0002651415125001222,0.007846944034099579,0.00015342465485446155,0.008265361189842224,0.004506944678723812,21.55878448486328,0.9986945390701294,0.0111869340762496,0.9875076049938798,0.011201557271621409,2.141207218170166,2.74228572845459,2.987166166305542,1.494795322418213,0.6927083134651184,0.0008478427213591629,81.34889221191406,96.57714080810547,27.2285213470459,42.02865219116211,0.9597724676132202,0.0008435910428352023,12.740280151367188,57.62131881713867,4524.1572265625,12.090332984924316,0.5301513671875,0.0010757301641180143,6.027742862701416,86.51445007324219,1616.9637451171875,4.76431941986084,0.77581787109375,0.0011636557740200945,14.089221000671387,93.34293365478516,969.01318359375,11.42524528503418,0.70513916015625,0.0007866891716748617,15.187027931213379,95.22277069091797,1819.1448974609375,11.455081939697266,0.76116943359375,0.0006691108980622808,22.748428344726562,107.13394927978516,8.693313598632812,17.49018096923828,0.740386962890625,0.0012772304095054403,0.9412839412689209,0.8034464716911316,0.771484375,0.0015994700457566697,20.68839454650879,103.39962005615234,11.579450607299805,19.18707275390625,0.64837646484375,0.001220903066527887,0.18899649381637573,0.14657026529312134,0.8828125,0.0022910195025028896,14.048751831054688,91.87361145019531,29.047697067260742,10.031682968139648,0.8032355904579163,0.0014286216954794671,0.0,0.43229591846466064,0.016356468200683594,0.7148640751838684,,,,,,pre,0.3637913763523102
1000,2.8824330001953058e-05,2.013076846196782e-05,3.5722659958992153e-06,3.016563641722314e-05,4.790601087734103e-05,4.568955046124756e-05,3.192174335708842e-05,8.375242828151386e-07,3.466465568635613e-05,1.873242894134819e-07,4.3652995373122394e-05,6.0177106206538156e-05,27.1746826171875,1.0,0.009508893825113773,0.9904911061748862,0.009508893825113773,2.149308681488037,2.6186885833740234,4.209171295166016,1.8754069805145264,0.65625,0.0007154705228379184,56.32756805419922,95.5174560546875,30.753389358520508,67.65110778808594,0.9347587823867798,0.0006941006862061688,16.654125213623047,29.072742462158203,8185.51904296875,16.717899322509766,0.52056884765625,0.0005430451109426863,4.52890157699585,77.22019958496094,4521.52685546875,5.2654314041137695,0.72314453125,0.0006584605007333281,15.195542335510254,87.50550079345703,7838.0869140625,12.90395736694336,0.69085693359375,0.0004533428227836995,15.879378318786621,90.38599395751953,785.0560302734375,12.425619125366211,0.75006103515625,0.00040529628013605707,23.943857192993164,99.54632568359375,12.853693008422852,20.011268615722656,0.71142578125,0.0006165387159146227,0.8207302689552307,1.0314618349075317,0.66796875,0.0008977941343879391,22.08155632019043,97.55233764648438,16.522768020629883,21.019683837890625,0.6265869140625,0.0006407003002210399,0.14067532122135162,0.21346113085746765,0.78125,0.0010864912492025104,19.699052810668945,89.01070404052734,40.04389572143555,15.815651893615723,0.7907909154891968,0.0005367331073161762,0.0,0.431747704744339,7.488447189331055,0.5322585105895996,,,,,,pre,0.9786738753318787
1500,3.12861402562703e-06,4.6287070176731504e-07,7.131220769451829e-08,1.9212482129660202e-06,7.348342592194967e-07,7.186272341641597e-07,5.302461545397819e-07,1.7254642159514333e-08,5.953095865152136e-07,8.241419102716918e-09,6.782553327866481e-07,8.250960945588304e-07,34.097930908203125,1.0,0.008949547074735165,0.9910504529252648,0.008949547074735165,2.5951077938079834,2.4028115272521973,8.033204078674316,2.4837701320648193,0.6458333134651184,0.0007368244119269889,41.7176513671875,93.0248794555664,37.65958023071289,82.93302917480469,0.9045367240905762,0.000651087476386545,15.392657279968262,18.22089195251465,14234.6826171875,15.858522415161133,0.52056884765625,0.0006480170950299098,4.431478023529053,56.911678314208984,1589.5697021484375,6.205132484436035,0.6514892578125,0.0008083937900690731,17.01641082763672,83.76251983642578,871.1917724609375,14.92598819732666,0.680419921875,0.0003749420673986297,17.50925636291504,86.37895202636719,5037.2314453125,14.245635986328125,0.73785400390625,0.00033820378522351785,25.615436553955078,95.02024841308594,16.006855010986328,22.42060089111328,0.6876678466796875,0.0003458063403238722,0.8488419651985168,1.22594153881073,0.591796875,0.00047286281115037316,23.923898696899414,95.38719177246094,20.211475372314453,23.091127395629883,0.6093292236328125,0.00048806975121328504,0.13404880464076996,0.26546528935432434,0.6328125,0.002100500686398848,21.87476348876953,88.18911743164062,46.57997512817383,18.12750816345215,0.7821487784385681,0.0003681160076940224,0.0,0.430751770734787,12.580831527709961,0.400134414434433,,,,,,pre,0.990729808807373
2000,0.000584106775932014,0.0005099178524687886,3.2968560844892636e-05,0.00031001275056041777,0.0006977979792281985,0.0007257885299623013,0.0005909416358917952,2.1729094441980124e-05,0.0006778569077141583,3.821999598585535e-06,0.0007962924428284168,0.001449122210033238,18.262596130371094,1.0,0.008949547074735165,0.9910504529252648,0.008949547074735165,2.4820351600646973,2.3579297065734863,8.630049705505371,2.5004489421844482,0.640625,0.0004824473865732714,30.743717193603516,90.43367767333984,41.29259490966797,93.73152923583984,0.8850740194320679,0.0004928409980737581,23.122737884521484,6.243700981140137,53482.07421875,23.495803833007812,0.52056884765625,0.0009818503519897427,4.158403396606445,40.37953186035156,2376.798583984375,6.601895332336426,0.611572265625,0.00043491462206709955,18.16440773010254,80.93221282958984,1971.1439208984375,16.14188003540039,0.673828125,0.0008143976740967835,17.506223678588867,83.37169647216797,1635.8560791015625,14.374136924743652,0.7330322265625,0.000668450763974969,22.595382690429688,91.18790435791016,19.32941436767578,20.251008987426758,0.6737823486328125,0.0007304044489018602,0.6858489513397217,1.2078320980072021,0.572265625,0.001400877179834532,20.18528175354004,92.36193084716797,26.73627471923828,19.671613693237305,0.5973358154296875,0.0006531818715899591,0.18025702238082886,0.32645344734191895,0.5390625,0.001295782431325683,17.855205535888672,86.37005615234375,61.60258865356445,14.4331693649292,0.7721238732337952,0.0006393506211296651,0.0,0.4295181930065155,6.144458770751953,0.8474891185760498,,,,,,pre,0.9928981065750122
2500,9.552875781082548e-06,5.72008093513432e-06,2.8692508635685954e-07,5.58393367100507e-06,5.904504632781027e-06,6.316634880931815e-06,5.295480605127523e-06,1.5688139853864413e-07,6.494070021290099e-06,2.6024641996968967e-08,9.309594133810606e-06,9.493796824244782e-06,27.81517791748047,1.0,0.009508893825113773,0.9904911061748862,0.009508893825113773,2.6544220447540283,2.3882830142974854,7.544449329376221,2.7072558403015137,0.6354166865348816,0.00027058686663601806,27.95366096496582,85.50994873046875,61.06034469604492,97.92256164550781,0.8522478342056274,0.00032875349317434315,26.034526824951172,3.4189720153808594,203241.984375,26.418060302734375,0.52056884765625,0.0003803733971473685,4.3560566902160645,25.219554901123047,41349.2734375,7.031098365783691,0.58123779296875,0.00047140188941459913,21.9638671875,80.53350830078125,3757.8876953125,19.923683166503906,0.6646728515625,0.00033636982743808245,20.612655639648438,82.94237518310547,11144.6474609375,17.52225112915039,0.7261962890625,0.0003300498469844294,26.0224609375,90.97760772705078,21.012903213500977,23.76080894470215,0.6591796875,0.00045890119521618876,0.9570420980453491,1.4356609582901,0.52734375,0.0005841124507925201,21.697795867919922,90.4223403930664,30.565439224243164,21.290790557861328,0.589263916015625,0.00047363057280651967,0.1706448644399643,0.3386315107345581,0.5234375,0.0005249206471821899,17.250436782836914,82.84134674072266,68.09578704833984,14.103732109069824,0.7715016603469849,0.00033201770108432513,0.0,0.4351848065853119,11.03770637512207,0.506901741027832,,,,,,pre,0.9906184077262878
3000,0.0017647050553932786,0.001840741140767932,0.00015209472621791065,0.0012120656901970506,0.0012603848008438945,0.0014281525509431958,0.0017674810951575637,0.00010380157618783414,0.0016868505626916885,8.560258720535785e-06,0.0019576987251639366,0.002200811170041561,17.8477840423584,1.0,0.01029197871685028,0.9897080212831497,0.01029197871685028,2.6691012382507324,2.4201807975769043,6.5418524742126465,2.756922483444214,0.640625,0.0009157392190140404,23.73468017578125,81.9197998046875,70.55684661865234,102.24797821044922,0.832305371761322,0.0009055109100244877,20.332721710205078,2.8153398036956787,65671.1328125,20.973535537719727,0.52056884765625,0.0026210307081305775,4.529545783996582,15.848991394042969,31656.67578125,7.309113025665283,0.56109619140625,0.0008520871861467862,20.793109893798828,79.00718688964844,997.0467529296875,18.896638870239258,0.6612548828125,0.00081030682410152,19.72766876220703,81.87013244628906,1292.842529296875,16.792577743530273,0.72015380859375,0.0008567773368386094,24.13465690612793,89.18102264404297,22.451412200927734,22.41753387451172,0.6499786376953125,0.0009424847547006914,0.8540151715278625,1.3998531103134155,0.5234375,0.001608530454832591,20.540145874023438,88.20409393310547,43.11991882324219,20.309192657470703,0.5802459716796875,0.000920201017326245,0.21709202229976654,0.37479034066200256,0.484375,0.0010238339653117598,15.792991638183594,80.76142883300781,83.31424713134766,12.944700241088867,0.7591261267662048,0.0009307976984261678,0.0,0.42446404695510864,5.576755523681641,0.877723217010498,,,,,,pre,0.9913585782051086
3500,0.00017493884661234915,6.247222336241975e-05,1.7813366639529704e-06,8.79785293363966e-05,4.741409429698251e-05,5.292660353006795e-05,4.747496859636158e-05,1.367055574519327e-06,6.338674575090408e-05,1.976901131683917e-07,0.0001041791692841798,0.00010371421376476064,22.779926300048828,1.0,0.011298802681267262,0.9887011973187327,0.011298802681267262,2.695446491241455,2.324152946472168,7.839591979980469,2.8087050914764404,0.6458333134651184,0.00030134245373494254,22.3604736328125,78.01564025878906,84.33561706542969,104.37440490722656,0.8177768588066101,0.000280297770827373,34.97703552246094,1.5942672491073608,458081.3125,35.24478530883789,0.52056884765625,0.00011635039424026505,4.226227283477783,11.492347717285156,52954.625,7.26718807220459,0.5501708984375,0.00039948314557575383,24.91661834716797,76.8951644897461,3276.308349609375,22.95702362060547,0.6571044921875,0.000355629722024672,22.228071212768555,80.58544158935547,1975.0738525390625,19.30438804626465,0.71527099609375,0.000350861164561515,25.9112606048584,88.9242935180664,21.33158302307129,24.245925903320312,0.6425628662109375,0.0004950518621558815,0.9181814789772034,1.4557031393051147,0.5078125,0.0007869180900670511,20.202219009399414,87.72676086425781,36.64420700073242,20.049203872680664,0.5782470703125,0.0005070652538127204,0.16855505108833313,0.3490471839904785,0.515625,0.0008541388468515511,14.06910514831543,79.07521057128906,106.73834228515625,11.476973533630371,0.760024905204773,0.000333193866045381,0.0,0.4378248453140259,8.699018478393555,0.6579191088676453,,,,,,pre,0.9879251718521118
4000,3.1423792279383633e-06,8.708196901352494e-07,3.776903056973424e-08,1.435641593161563e-06,6.427287644328317e-07,7.041822414066701e-07,6.307191142695956e-07,1.7176585487277407e-08,9.275643719774962e-07,1.0059570065834578e-08,1.7609911537874723e-06,1.0170754194405163e-06,31.430795669555664,1.0,0.011410672217607498,0.9885893277823925,0.011410672217607498,2.933070182800293,2.323826551437378,7.700755596160889,3.0262956619262695,0.6380208134651184,0.00033701302228463344,22.459270477294922,75.86226654052734,92.15179443359375,105.28414916992188,0.8014665842056274,0.00020962573009967154,27.098665237426758,1.4870502948760986,328940.125,27.541723251342773,0.52056884765625,0.0008675094964114037,4.764118194580078,7.941591739654541,67735.6015625,7.615729808807373,0.54034423828125,0.00044368238578186743,26.117456436157227,77.0415267944336,1708.2880859375,24.220813751220703,0.6536865234375,0.00017972218223595454,23.731931686401367,81.08142852783203,989.5899047851562,20.8679256439209,0.7120361328125,0.00016916911852965757,28.008195877075195,89.39087677001953,20.464488983154297,26.337148666381836,0.6345367431640625,0.0002675591273228113,1.0065935850143433,1.524195671081543,0.5078125,0.0003712283154506663,22.087411880493164,87.53446197509766,37.230316162109375,21.913082122802734,0.573638916015625,0.0006348966537016096,0.17342302203178406,0.35532259941101074,0.484375,0.0021438605148943715,14.453271865844727,77.96241760253906,117.78258514404297,11.924890518188477,0.7562223672866821,0.00042320259600996454,0.0,0.4351516664028168,13.222505569458008,0.45146775245666504,,,,,,pre,0.99660724401474
4500,0.0014645281480625272,0.0010515468893572688,2.2576781702809967e-05,0.0006418520933948457,0.0007568173459731042,0.0008642433094792068,0.000797258981037885,2.6050292945001274e-05,0.0011079993564635515,3.572915375116281e-06,0.0019824039191007614,0.0022460981272161007,16.69379234313965,1.0,0.01062758732587099,0.989372412674129,0.01062758732587099,2.61079740524292,2.3494834899902344,7.4525370597839355,2.7599287033081055,0.6380208134651184,0.0004072103026861019,20.278350830078125,73.15043640136719,131.35562133789062,107.30304718017578,0.7917351722717285,0.00042916308416949655,39.51404571533203,1.204954743385315,2428913.25,39.734310150146484,0.52056884765625,0.000440615049562576,4.3309102058410645,6.632580757141113,672662.0625,7.4368486404418945,0.53765869140625,0.00030285962338765475,25.324214935302734,74.19674682617188,229946.859375,23.512771606445312,0.65087890625,0.0005935681681290691,21.952850341796875,78.65084075927734,1232.168701171875,19.230636596679688,0.70953369140625,0.0005243442082065335,24.888105392456055,87.61258697509766,22.60024642944336,23.75107192993164,0.6308135986328125,0.0006213118914067748,0.8311231732368469,1.4142093658447266,0.494140625,0.0011581626771612788,19.105669021606445,85.50342559814453,47.65980529785156,19.134492874145508,0.567657470703125,0.0006441291764655497,0.17308193445205688,0.35662025213241577,0.4375,0.0012005001671766679,11.590472221374512,76.99103546142578,136.9125518798828,9.477798461914062,0.7486863732337952,0.000503127365318327,0.0,0.43965864181518555,5.774940490722656,0.9647490382194519,,,,,,pre,0.9961886405944824
